# -*-sh-*-
# Atlas inclusive jet cross sections 2010
#
# From "Measurement of inclusive jet and dijet production 
# in pp collisions at sqrt(s)= 7 TeV using the ATLAS detector"
# by the ATLAS Collaboration.
#
# Published: arXiv:1112.6297v2
#

##########################################################
#  General parameters of this dataset
##########################################################

AlposName           "bla" # not used
Description         "ATLAS inclusive jets @ 7TeV, 2010, R04, 37 pb-1 "
Reference           "Phys.Rev. D86 (2012) 014022 [arXiv:1112.6297]"


##########################################################
#  Theory function settings
#
#  fastNLO parameters, specific to this dataset
#  not specified parameters are taken from default as
#  specified in the global steering file
##########################################################
# ----TheoryFunction: fastNLO ---
Filename			theoryfiles/fnl1016_I1082936.tab
Units				1      # 0: absoluteUnits, 1: PublicationUnits
MuRFuncForm			0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean
MuFFuncForm		        0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean


##########################################################
#  Data table 
#  
#  Necessary keys are:
#   + ErrorSet           (Specifies the 'set' of error, which may correlated to other data sets)
#   + Data		 (the data table, bin boundaries, and errors)
#   + Errors		 (specify the used errors, and its nature)
#   + TheoryFactors     (multiplicative factors to be applied on theory) 
#   + TheoryErrors	 (additional errors on the theory [as sepcified in 'Data'])
# 
##########################################################


Data {{
     "ymin"      "ymax"  "pt1"   "pt2"  "YBinSize"      "NPCorr"          "stat"         "Sigma"  "JES1_RelSys_1"  "JES1_RelSys_2"  "JES1_RelSys_3"  "JES1_RelSys_4"  "JES1_RelSys_5"  "JES1_RelSys_6"  "JES2_RelSys_7"  "JES2_RelSys_8"  "JES2_RelSys_9"  "JES2_RelSys_10"  "JES2_RelSys_11"  "JES2_RelSys_12"  "JES3_RelSys_13"  "JES3_RelSys_14"  "JES3_RelSys_15"  "JES3_RelSys_16"  "JES3_RelSys_17"  "JES3_RelSys_18"  "JES4_RelSys_19"  "JES4_RelSys_20"  "JES4_RelSys_21"  "JES4_RelSys_22"  "JES4_RelSys_23"  "JES4_RelSys_24"  "JES5_RelSys_25"  "JES5_RelSys_26"  "JES5_RelSys_27"  "JES5_RelSys_28"  "JES5_RelSys_29"  "JES5_RelSys_30"  "JES6_RelSys_31"  "JES7_RelSys_32"  "JES7_RelSys_33"  "JES7_RelSys_34"  "JES7_RelSys_35"  "JES7_RelSys_36"  "JES7_RelSys_37"  "JES8_RelSys_38"  "JES8_RelSys_39"  "JES8_RelSys_40"  "JES8_RelSys_41"  "JES8_RelSys_42"  "JES8_RelSys_43"  "JES9_RelSys_44"  "JES9_RelSys_45"  "JES9_RelSys_46"  "JES9_RelSys_47"  "JES9_RelSys_48"  "JES9_RelSys_49"  "JES10_RelSys_50"  "JES10_RelSys_51"  "JES10_RelSys_52"  "JES10_RelSys_53"  "JES10_RelSys_54"  "JES10_RelSys_55"  "JES11_RelSys_56"  "JES11_RelSys_57"  "JES11_RelSys_58"  "JES11_RelSys_59"  "JES11_RelSys_60"  "JES11_RelSys_61"  "JES12_RelSys_62"  "JES12_RelSys_63"  "JES12_RelSys_64"  "JES12_RelSys_65"  "JES12_RelSys_66"  "JES12_RelSys_67"  "JES13_RelSys_68"  "JES13_RelSys_69"  "JES13_RelSys_70"  "JES13_RelSys_71"  "JES13_RelSys_72"  "JES13_RelSys_73"  "JESPileUp_RelSys_uncorr"  "CleaningEffRelSys_uncorr"  "UnfClosureRelSys_74"  "MatchingRelSys_75"  "JERRelSys_76"  "JERRelSys_77"  "JERRelSys_78"  "JERRelSys_79"  "JERRelSys_80"  "JERRelSys_81"  "YResoRelSys_82"  "RecoEffRelSys_83"  "RecoEffRelSys_84"  "RecoEffRelSys_85"  "RecoEffRelSys_86"  "TriggerEffRelSys_uncorr"  "atlas_lumi2010"  
       0.0         0.3     20       30        0.6       0.985878        0.859011  4699974.408547        10.166938         0.000000         0.000000         0.000000         0.000000         0.000000        10.345735         0.000000         0.000000          0.000000          0.000000          0.000000          7.131535          0.000000          0.000000          0.000000          0.000000          0.000000          8.622904          0.000000          0.000000          0.000000          0.000000          0.000000          4.046980          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          2.228887          0.000000          0.000000          0.000000          0.000000          0.000000          5.046367          0.000000          0.000000          0.000000          0.000000          0.000000          4.698298          0.000000          0.000000          0.000000          0.000000          0.000000           0.007989           0.000000           0.000000           0.000000           0.000000           0.000000           0.009956           0.000000           0.000000           0.000000           0.000000           0.000000           2.046100           0.000000           0.000000           0.000000           0.000000           0.000000           0.000068           0.000000           0.000000           0.000000           0.000000           0.000000                   0.836584                    0.511914               0.066415             1.541270        4.214153        0.000000        0.000000        0.000000        0.000000        0.000000          0.221817            2.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
       0.0         0.3     30       45        0.6       0.988188        1.332308   717447.207475         4.775413         0.000000         0.000000         0.000000         0.000000         0.000000         8.921384         0.000000         0.000000          0.000000          0.000000          0.000000          5.998348          0.000000          0.000000          0.000000          0.000000          0.000000         10.236105          0.000000          0.000000          0.000000          0.000000          0.000000          1.662918          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          2.423393          0.000000          0.000000          0.000000          0.000000          0.000000          3.983780          0.000000          0.000000          0.000000          0.000000          0.000000          4.397571          0.000000          0.000000          0.000000          0.000000          0.000000           0.048683           0.000000           0.000000           0.000000           0.000000           0.000000           0.026271           0.000000           0.000000           0.000000           0.000000           0.000000           3.542594           0.000000           0.000000           0.000000           0.000000           0.000000           0.001259           0.000000           0.000000           0.000000           0.000000           0.000000                   0.482703                    0.408445               0.042684             1.080712        0.856349        0.000000        0.000000        0.000000        0.000000        0.000000          0.026625            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
       0.0         0.3     45       60        0.6       0.989919        3.027669   147692.727775         1.784246         0.000000         0.000000         0.000000         0.000000         0.000000         7.843047         0.000000         0.000000          0.000000          0.000000          0.000000          4.069651          0.000000          0.000000          0.000000          0.000000          0.000000          5.301708          0.000000          0.000000          0.000000          0.000000          0.000000          0.416587          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          2.868975          0.000000          0.000000          0.000000          0.000000          0.000000          2.382605          0.000000          0.000000          0.000000          0.000000          0.000000          4.018481          0.000000          0.000000          0.000000          0.000000          0.000000           0.198490           0.000000           0.000000           0.000000           0.000000           0.000000           0.309537           0.000000           0.000000           0.000000           0.000000           0.000000           4.592164           0.000000           0.000000           0.000000           0.000000           0.000000           0.011836           0.000000           0.000000           0.000000           0.000000           0.000000                   0.313722                    0.301555               0.053482             0.728190        0.729904        0.000000        0.000000        0.000000        0.000000        0.000000          0.071993            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
       0.0         0.3     60       80        0.6       0.991289        1.098625    38057.557037         0.611722         0.000000         0.000000         0.000000         0.000000         0.000000         6.170818         0.000000         0.000000          0.000000          0.000000          0.000000          2.460893          0.000000          0.000000          0.000000          0.000000          0.000000          3.428666          0.000000          0.000000          0.000000          0.000000          0.000000          1.008370          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          3.186626          0.000000          0.000000          0.000000          0.000000          0.000000          1.555219          0.000000          0.000000          0.000000          0.000000          0.000000          4.054403          0.000000          0.000000          0.000000          0.000000          0.000000           0.371613           0.000000           0.000000           0.000000           0.000000           0.000000           0.085353           0.000000           0.000000           0.000000           0.000000           0.000000           4.565985           0.000000           0.000000           0.000000           0.000000           0.000000           0.133909           0.000000           0.000000           0.000000           0.000000           0.000000                   0.291830                    0.210354               0.084064             0.432477        0.005529        0.000000        0.000000        0.000000        0.000000        0.000000          0.013072            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
       0.0         0.3     80      110        0.6       0.992647        0.681328     8518.456817         0.441405         0.000000         0.000000         0.000000         0.000000         0.000000         6.804080         0.000000         0.000000          0.000000          0.000000          0.000000          4.131080          0.000000          0.000000          0.000000          0.000000          0.000000          3.325937          0.000000          0.000000          0.000000          0.000000          0.000000          2.160157          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          3.073088          0.000000          0.000000          0.000000          0.000000          0.000000          1.579459          0.000000          0.000000          0.000000          0.000000          0.000000          4.903942          0.000000          0.000000          0.000000          0.000000          0.000000           1.006126           0.000000           0.000000           0.000000           0.000000           0.000000           0.261327           0.000000           0.000000           0.000000           0.000000           0.000000           2.378517           0.000000           0.000000           0.000000           0.000000           0.000000           0.552364           0.000000           0.000000           0.000000           0.000000           0.000000                   0.436268                    0.132614               0.037182             1.950731        2.339473        0.000000        0.000000        0.000000        0.000000        0.000000          0.031143            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
       0.0         0.3    110      160        0.6       0.994103        0.623061     1479.477248         0.062663         0.000000         0.000000         0.000000         0.000000         0.000000         5.401637         0.000000         0.000000          0.000000          0.000000          0.000000          3.489574          0.000000          0.000000          0.000000          0.000000          0.000000          3.449308          0.000000          0.000000          0.000000          0.000000          0.000000          0.705195          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          3.157709          0.000000          0.000000          0.000000          0.000000          0.000000          1.166775          0.000000          0.000000          0.000000          0.000000          0.000000          5.317255          0.000000          0.000000          0.000000          0.000000          0.000000           1.734292           0.000000           0.000000           0.000000           0.000000           0.000000           0.368567           0.000000           0.000000           0.000000           0.000000           0.000000           0.129778           0.000000           0.000000           0.000000           0.000000           0.000000           1.325613           0.000000           0.000000           0.000000           0.000000           0.000000                   0.414431                    0.081853               0.031182             0.092626        0.760650        0.000000        0.000000        0.000000        0.000000        0.000000          0.064684            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
       0.0         0.3    160      210        0.6       0.995325        0.685631      254.470664         0.007844         0.000000         0.000000         0.000000         0.000000         0.000000         3.755566         0.000000         0.000000          0.000000          0.000000          0.000000          3.905695          0.000000          0.000000          0.000000          0.000000          0.000000          3.010664          0.000000          0.000000          0.000000          0.000000          0.000000          1.353435          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          2.571907          0.000000          0.000000          0.000000          0.000000          0.000000          0.764122          0.000000          0.000000          0.000000          0.000000          0.000000          6.092714          0.000000          0.000000          0.000000          0.000000          0.000000           2.456759           0.000000           0.000000           0.000000           0.000000           0.000000           0.253444           0.000000           0.000000           0.000000           0.000000           0.000000           0.285335           0.000000           0.000000           0.000000           0.000000           0.000000           4.503037           0.000000           0.000000           0.000000           0.000000           0.000000                   0.402436                    0.065909               0.131659             0.137885        0.414135        0.000000        0.000000        0.000000        0.000000        0.000000          0.052893            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
       0.0         0.3    210      260        0.6       0.996205        0.908464       63.393541         0.002181         0.000000         0.000000         0.000000         0.000000         0.000000         5.561667         0.000000         0.000000          0.000000          0.000000          0.000000          5.851574          0.000000          0.000000          0.000000          0.000000          0.000000          2.676917          0.000000          0.000000          0.000000          0.000000          0.000000          1.722344          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          2.911084          0.000000          0.000000          0.000000          0.000000          0.000000          0.831995          0.000000          0.000000          0.000000          0.000000          0.000000          6.459270          0.000000          0.000000          0.000000          0.000000          0.000000           3.814035           0.000000           0.000000           0.000000           0.000000           0.000000           0.462049           0.000000           0.000000           0.000000           0.000000           0.000000           0.078046           0.000000           0.000000           0.000000           0.000000           0.000000           6.600640           0.000000           0.000000           0.000000           0.000000           0.000000                   0.395878                    0.062926               0.156482             0.021362        0.361776        0.000000        0.000000        0.000000        0.000000        0.000000          0.106880            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
       0.0         0.3    260      310        0.6       0.996888        0.864650       20.736712         0.000643         0.000000         0.000000         0.000000         0.000000         0.000000         5.394738         0.000000         0.000000          0.000000          0.000000          0.000000          3.984784          0.000000          0.000000          0.000000          0.000000          0.000000          2.052812          0.000000          0.000000          0.000000          0.000000          0.000000          1.838770          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          2.394993          0.000000          0.000000          0.000000          0.000000          0.000000          0.587490          0.000000          0.000000          0.000000          0.000000          0.000000          6.132393          0.000000          0.000000          0.000000          0.000000          0.000000           4.051073           0.000000           0.000000           0.000000           0.000000           0.000000           0.630366           0.000000           0.000000           0.000000           0.000000           0.000000           0.016065           0.000000           0.000000           0.000000           0.000000           0.000000           6.933841           0.000000           0.000000           0.000000           0.000000           0.000000                   0.292867                    0.062402               0.187498             0.003880        0.705511        0.000000        0.000000        0.000000        0.000000        0.000000          0.026345            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
       0.0         0.3    310      400        0.6       0.997638        1.026915        5.956032         0.000180         0.000000         0.000000         0.000000         0.000000         0.000000         3.681804         0.000000         0.000000          0.000000          0.000000          0.000000          2.343428          0.000000          0.000000          0.000000          0.000000          0.000000          1.083584          0.000000          0.000000          0.000000          0.000000          0.000000          1.893367          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          1.952570          0.000000          0.000000          0.000000          0.000000          0.000000          0.675863          0.000000          0.000000          0.000000          0.000000          0.000000          6.311531          0.000000          0.000000          0.000000          0.000000          0.000000           4.464155           0.000000           0.000000           0.000000           0.000000           0.000000           0.724585           0.000000           0.000000           0.000000           0.000000           0.000000           0.004627           0.000000           0.000000           0.000000           0.000000           0.000000           6.974362           0.000000           0.000000           0.000000           0.000000           0.000000                   0.303419                    0.062305               0.116925             0.001434        0.763960        0.000000        0.000000        0.000000        0.000000        0.000000          0.068516            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
