# -*-sh-*-
# Atlas inclusive jet cross sections 2010
#
# From "Measurement of inclusive jet and dijet production 
# in pp collisions at sqrt(s)= 7 TeV using the ATLAS detector"
# by the ATLAS Collaboration.
#
# Published: arXiv:1112.6297v2
#

##########################################################
#  General parameters of this dataset
##########################################################

AlposName           "bla" # not used
Description         "ATLAS inclusive jets @ 7TeV, 2010, R06, 37 pb-1 "
Reference           "Phys.Rev. D86 (2012) 014022 [arXiv:1112.6297]"


##########################################################
#  Theory function settings
#
#  fastNLO parameters, specific to this dataset
#  not specified parameters are taken from default as
#  specified in the global steering file
##########################################################
# --- TheoryFunction: fastNLO ---
Filename			theoryfiles/fnl1015_I1082936.tab
Units				1      # 0: absoluteUnits, 1: PublicationUnits
MuRFuncForm			0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean
MuFFuncForm		        0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean


##########################################################
#  Data table 
#  
#  Necessary keys are:
#   + ErrorSet           (Specifies the 'set' of error, which may correlated to other data sets)
#   + Data		 (the data table, bin boundaries, and errors)
#   + Errors		 (specify the used errors, and its nature)
#   + TheoryFactors     (multiplicative factors to be applied on theory) 
#   + TheoryErrors	 (additional errors on the theory [as sepcified in 'Data'])
# 
##########################################################


Data {{
       "ymin"      "ymax"  "pt1"   "pt2"  "YBinSize"       "NPCorr"          "stat"         "Sigma"  "JES1_RelSys_1"  "JES1_RelSys_2"  "JES1_RelSys_3"  "JES1_RelSys_4"  "JES1_RelSys_5"  "JES1_RelSys_6"  "JES2_RelSys_7"  "JES2_RelSys_8"  "JES2_RelSys_9"  "JES2_RelSys_10"  "JES2_RelSys_11"  "JES2_RelSys_12"  "JES3_RelSys_13"  "JES3_RelSys_14"  "JES3_RelSys_15"  "JES3_RelSys_16"  "JES3_RelSys_17"  "JES3_RelSys_18"  "JES4_RelSys_19"  "JES4_RelSys_20"  "JES4_RelSys_21"  "JES4_RelSys_22"  "JES4_RelSys_23"  "JES4_RelSys_24"  "JES5_RelSys_25"  "JES5_RelSys_26"  "JES5_RelSys_27"  "JES5_RelSys_28"  "JES5_RelSys_29"  "JES5_RelSys_30"  "JES6_RelSys_31"  "JES7_RelSys_32"  "JES7_RelSys_33"  "JES7_RelSys_34"  "JES7_RelSys_35"  "JES7_RelSys_36"  "JES7_RelSys_37"  "JES8_RelSys_38"  "JES8_RelSys_39"  "JES8_RelSys_40"  "JES8_RelSys_41"  "JES8_RelSys_42"  "JES8_RelSys_43"  "JES9_RelSys_44"  "JES9_RelSys_45"  "JES9_RelSys_46"  "JES9_RelSys_47"  "JES9_RelSys_48"  "JES9_RelSys_49"  "JES10_RelSys_50"  "JES10_RelSys_51"  "JES10_RelSys_52"  "JES10_RelSys_53"  "JES10_RelSys_54"  "JES10_RelSys_55"  "JES11_RelSys_56"  "JES11_RelSys_57"  "JES11_RelSys_58"  "JES11_RelSys_59"  "JES11_RelSys_60"  "JES11_RelSys_61"  "JES12_RelSys_62"  "JES12_RelSys_63"  "JES12_RelSys_64"  "JES12_RelSys_65"  "JES12_RelSys_66"  "JES12_RelSys_67"  "JES13_RelSys_68"  "JES13_RelSys_69"  "JES13_RelSys_70"  "JES13_RelSys_71"  "JES13_RelSys_72"  "JES13_RelSys_73"  "JESPileUp_RelSys_uncorr"  "UnfClosureRelSys_74"  "MatchingRelSys_75"  "JERRelSys_76"  "JERRelSys_77"  "JERRelSys_78"  "JERRelSys_79"  "JERRelSys_80"  "JERRelSys_81"  "CleaningEffRelSys_uncorr"  "YResoRelSys_82"  "RecoEffRelSys_83"  "RecoEffRelSys_84"  "RecoEffRelSys_85"  "RecoEffRelSys_86"  "TriggerEffRelSys_uncorr"  "atlas_lumi2010"  
         0.0         0.3     20       30        0.6        1.606904        0.565073  10049929.65903        12.627546         0.000000         0.000000         0.000000         0.000000         0.000000        10.786959         0.000000         0.000000          0.000000          0.000000          0.000000         16.047274          0.000000          0.000000          0.000000          0.000000          0.000000          9.710837          0.000000          0.000000          0.000000          0.000000          0.000000          5.730816          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          2.334007          0.000000          0.000000          0.000000          0.000000          0.000000          5.559096          0.000000          0.000000          0.000000          0.000000          0.000000          5.101015          0.000000          0.000000          0.000000          0.000000          0.000000           0.007266           0.000000           0.000000           0.000000           0.000000           0.000000           0.008760           0.000000           0.000000           0.000000           0.000000           0.000000           2.180848           0.000000           0.000000           0.000000           0.000000           0.000000           0.000055           0.000000           0.000000           0.000000           0.000000           0.000000                   0.819276               0.062954             1.338584        3.346848        0.000000        0.000000        0.000000        0.000000        0.000000                    0.511914          0.035557            2.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
         0.0         0.3     30       45        0.6        1.299748        1.210550  1230955.207273         8.356227         0.000000         0.000000         0.000000         0.000000         0.000000        10.078568         0.000000         0.000000          0.000000          0.000000          0.000000         10.096469          0.000000          0.000000          0.000000          0.000000          0.000000          7.964737          0.000000          0.000000          0.000000          0.000000          0.000000          2.386216          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          2.525825          0.000000          0.000000          0.000000          0.000000          0.000000          4.078175          0.000000          0.000000          0.000000          0.000000          0.000000          4.377517          0.000000          0.000000          0.000000          0.000000          0.000000           0.049443           0.000000           0.000000           0.000000           0.000000           0.000000           0.030317           0.000000           0.000000           0.000000           0.000000           0.000000           3.564297           0.000000           0.000000           0.000000           0.000000           0.000000           0.001284           0.000000           0.000000           0.000000           0.000000           0.000000                   0.573422               0.064289             0.752497        2.986453        0.000000        0.000000        0.000000        0.000000        0.000000                    0.408445          0.028265            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
         0.0         0.3     45       60        0.6        1.177525        2.627313   219285.679772         2.104211         0.000000         0.000000         0.000000         0.000000         0.000000         8.359303         0.000000         0.000000          0.000000          0.000000          0.000000          5.132332          0.000000          0.000000          0.000000          0.000000          0.000000          4.563734          0.000000          0.000000          0.000000          0.000000          0.000000          1.240900          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          3.495270          0.000000          0.000000          0.000000          0.000000          0.000000          2.776112          0.000000          0.000000          0.000000          0.000000          0.000000          4.885871          0.000000          0.000000          0.000000          0.000000          0.000000           0.211529           0.000000           0.000000           0.000000           0.000000           0.000000           0.383491           0.000000           0.000000           0.000000           0.000000           0.000000           5.556140           0.000000           0.000000           0.000000           0.000000           0.000000           0.016634           0.000000           0.000000           0.000000           0.000000           0.000000                   0.398804               0.040117             1.039289        1.440646        0.000000        0.000000        0.000000        0.000000        0.000000                    0.301555          0.112071            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
         0.0         0.3     60       80        0.6        1.117862        0.955120    54479.758887         1.066702         0.000000         0.000000         0.000000         0.000000         0.000000         6.869329         0.000000         0.000000          0.000000          0.000000          0.000000          1.087581          0.000000          0.000000          0.000000          0.000000          0.000000          3.683455          0.000000          0.000000          0.000000          0.000000          0.000000          0.804868          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          3.225139          0.000000          0.000000          0.000000          0.000000          0.000000          1.656659          0.000000          0.000000          0.000000          0.000000          0.000000          4.271433          0.000000          0.000000          0.000000          0.000000          0.000000           0.393730           0.000000           0.000000           0.000000           0.000000           0.000000           0.113355           0.000000           0.000000           0.000000           0.000000           0.000000           4.587239           0.000000           0.000000           0.000000           0.000000           0.000000           0.160833           0.000000           0.000000           0.000000           0.000000           0.000000                   0.332531               0.075104             0.440059        1.252653        0.000000        0.000000        0.000000        0.000000        0.000000                    0.210354          0.009840            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
         0.0         0.3     80      110        0.6        1.079005        0.839072    11447.971328         0.543879         0.000000         0.000000         0.000000         0.000000         0.000000         6.446999         0.000000         0.000000          0.000000          0.000000          0.000000          1.578141          0.000000          0.000000          0.000000          0.000000          0.000000          4.318129          0.000000          0.000000          0.000000          0.000000          0.000000          1.537709          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          3.432366          0.000000          0.000000          0.000000          0.000000          0.000000          1.810317          0.000000          0.000000          0.000000          0.000000          0.000000          5.022728          0.000000          0.000000          0.000000          0.000000          0.000000           1.043315           0.000000           0.000000           0.000000           0.000000           0.000000           0.405376           0.000000           0.000000           0.000000           0.000000           0.000000           2.708309           0.000000           0.000000           0.000000           0.000000           0.000000           0.497850           0.000000           0.000000           0.000000           0.000000           0.000000                   0.586363               0.017814             0.309484        0.531507        0.000000        0.000000        0.000000        0.000000        0.000000                    0.132614          0.056420            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
         0.0         0.3    110      160        0.6        1.051943        0.605986     1930.139971         0.066798         0.000000         0.000000         0.000000         0.000000         0.000000         4.690162         0.000000         0.000000          0.000000          0.000000          0.000000          3.031542          0.000000          0.000000          0.000000          0.000000          0.000000          3.275372          0.000000          0.000000          0.000000          0.000000          0.000000          1.192710          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          3.224991          0.000000          0.000000          0.000000          0.000000          0.000000          1.233620          0.000000          0.000000          0.000000          0.000000          0.000000          5.378399          0.000000          0.000000          0.000000          0.000000          0.000000           1.728721           0.000000           0.000000           0.000000           0.000000           0.000000           0.379243           0.000000           0.000000           0.000000           0.000000           0.000000           0.137250           0.000000           0.000000           0.000000           0.000000           0.000000           1.310505           0.000000           0.000000           0.000000           0.000000           0.000000                   0.406846               0.211987             0.080501        0.043695        0.000000        0.000000        0.000000        0.000000        0.000000                    0.081853          0.006821            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
         0.0         0.3    160      210        0.6        1.036935        0.673259      320.949096         0.006563         0.000000         0.000000         0.000000         0.000000         0.000000         5.865985         0.000000         0.000000          0.000000          0.000000          0.000000          4.584230          0.000000          0.000000          0.000000          0.000000          0.000000          2.201167          0.000000          0.000000          0.000000          0.000000          0.000000          1.496786          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          2.703943          0.000000          0.000000          0.000000          0.000000          0.000000          0.938296          0.000000          0.000000          0.000000          0.000000          0.000000          6.107542          0.000000          0.000000          0.000000          0.000000          0.000000           2.681128           0.000000           0.000000           0.000000           0.000000           0.000000           0.371482           0.000000           0.000000           0.000000           0.000000           0.000000           0.300515           0.000000           0.000000           0.000000           0.000000           0.000000           4.786978           0.000000           0.000000           0.000000           0.000000           0.000000                   0.452554               0.145073             0.066013        0.803543        0.000000        0.000000        0.000000        0.000000        0.000000                    0.065909          0.055302            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
         0.0         0.3    210      260        0.6        1.029123        0.896551       77.779288         0.001995         0.000000         0.000000         0.000000         0.000000         0.000000         7.011714         0.000000         0.000000          0.000000          0.000000          0.000000          3.615058          0.000000          0.000000          0.000000          0.000000          0.000000          1.460161          0.000000          0.000000          0.000000          0.000000          0.000000          1.562793          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          2.598848          0.000000          0.000000          0.000000          0.000000          0.000000          0.563481          0.000000          0.000000          0.000000          0.000000          0.000000          6.111604          0.000000          0.000000          0.000000          0.000000          0.000000           3.126116           0.000000           0.000000           0.000000           0.000000           0.000000           0.168557           0.000000           0.000000           0.000000           0.000000           0.000000           0.075697           0.000000           0.000000           0.000000           0.000000           0.000000           6.239733           0.000000           0.000000           0.000000           0.000000           0.000000                   0.278692               0.140273             0.126632        0.074907        0.000000        0.000000        0.000000        0.000000        0.000000                    0.062926          0.073087            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
         0.0         0.3    260      310        0.6        1.024360        0.833351       25.377556         0.000697         0.000000         0.000000         0.000000         0.000000         0.000000         5.188128         0.000000         0.000000          0.000000          0.000000          0.000000          2.506355          0.000000          0.000000          0.000000          0.000000          0.000000          1.428898          0.000000          0.000000          0.000000          0.000000          0.000000          2.224323          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          2.537045          0.000000          0.000000          0.000000          0.000000          0.000000          0.556936          0.000000          0.000000          0.000000          0.000000          0.000000          6.230691          0.000000          0.000000          0.000000          0.000000          0.000000           4.229344           0.000000           0.000000           0.000000           0.000000           0.000000           0.610981           0.000000           0.000000           0.000000           0.000000           0.000000           0.014505           0.000000           0.000000           0.000000           0.000000           0.000000           7.092934           0.000000           0.000000           0.000000           0.000000           0.000000                   0.294327               0.203945             0.318517        0.745857        0.000000        0.000000        0.000000        0.000000        0.000000                    0.062402          0.036219            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
         0.0         0.3    310      400        0.6        1.020156        0.930734        7.162752         0.000155         0.000000         0.000000         0.000000         0.000000         0.000000         2.494206         0.000000         0.000000          0.000000          0.000000          0.000000          2.766696          0.000000          0.000000          0.000000          0.000000          0.000000          0.633376          0.000000          0.000000          0.000000          0.000000          0.000000          2.692423          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          1.911561          0.000000          0.000000          0.000000          0.000000          0.000000          0.663676          0.000000          0.000000          0.000000          0.000000          0.000000          6.304090          0.000000          0.000000          0.000000          0.000000          0.000000           4.271588           0.000000           0.000000           0.000000           0.000000           0.000000           0.706868           0.000000           0.000000           0.000000           0.000000           0.000000           0.003860           0.000000           0.000000           0.000000           0.000000           0.000000           6.892478           0.000000           0.000000           0.000000           0.000000           0.000000                   0.275261               0.182894             0.177927        0.437786        0.000000        0.000000        0.000000        0.000000        0.000000                    0.062305          0.025840            1.000000            0.000000            0.000000            0.000000                   1.000000          3.400000  
