# -*-sh-*-
# Atlas inclusive jet cross sections 2011
#
# From "Measurement of inclusive jet and dijet production 
# in pp collisions at sqrt(s)= 7 TeV using the ATLAS detector"
# by the ATLAS Collaboration.
#
# Published: JHEP 1502 (2015) 153, arXiv:1410.8857
#

##########################################################
#  General parameters of this dataset
##########################################################

AlposName           "bla" # not used
Description         "ATLAS inclusive jets 2011, 2.76TeV, 0.20 pb-1"
Reference           "Eur.Phys.J. C73 (2013) 2509, arXiv:1304.4739 [hep-ex]"


##########################################################
#  Theory function settings
#
#  fastNLO parameters, specific to this dataset
#  not specified parameters are taken from default as
#  specified in the global steering file
##########################################################
# --- TheoryFunction: fastNLO ---
Filename			theoryfiles/fnl4362_v23_fix.tab
Units				1      # 0: absoluteUnits, 1: PublicationUnits
MuRFuncForm			0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean
MuFFuncForm		        0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean


##########################################################
#  Data table 
#  
#  Necessary keys are:
#   + ErrorSet           (Specifies the 'set' of error, which may correlated to other data sets)
#   + Data		 (the data table, bin boundaries, and errors)
#   + Errors		 (specify the used errors, and its nature)
#   + TheoryFactors     (multiplicative factors to be applied on theory) 
#   + TheoryErrors	 (additional errors on the theory [as sepcified in 'Data'])
# 
##########################################################

Data {{
   "ymin"  "ymax"   "pt1" "pt2"  "YBinSize"    "NPCorr"      "Sigma"       "stat"  "JES1_RelSys_1"  "JES1_RelSys_2"  "JES1_RelSys_3"  "JES1_RelSys_4"  "JES1_RelSys_5"  "JES1_RelSys_6"  "JES2_RelSys_10"  "JES2_RelSys_11"  "JES2_RelSys_12"  "JES2_RelSys_7"  "JES2_RelSys_8"  "JES2_RelSys_9"  "JES3_RelSys_13"  "JES3_RelSys_14"  "JES3_RelSys_15"  "JES3_RelSys_16"  "JES3_RelSys_17"  "JES3_RelSys_18"  "JES4_RelSys_19"  "JES4_RelSys_20"  "JES4_RelSys_21"  "JES4_RelSys_22"  "JES4_RelSys_23"  "JES4_RelSys_24"  "JES5_RelSys_25"  "JES5_RelSys_26"  "JES5_RelSys_27"  "JES5_RelSys_28"  "JES5_RelSys_29"  "JES5_RelSys_30"  "JES6_ForwardGenRelSys_88"  "JES7_RelSys_32"  "JES7_RelSys_33"  "JES7_RelSys_34"  "JES7_RelSys_35"  "JES7_RelSys_36"  "JES7_RelSys_37"  "JES8_RelSys_38"  "JES8_RelSys_39"  "JES8_RelSys_40"  "JES8_RelSys_41"  "JES8_RelSys_42"  "JES8_RelSys_43"  "JES9_RelSys_44"  "JES9_RelSys_45"  "JES9_RelSys_46"  "JES9_RelSys_47"  "JES9_RelSys_48"  "JES9_RelSys_49"  "JES10_RelSys_50"  "JES10_RelSys_51"  "JES10_RelSys_52"  "JES10_RelSys_53"  "JES10_RelSys_54"  "JES10_RelSys_55"  "JES11_RelSys_56"  "JES11_RelSys_57"  "JES11_RelSys_58"  "JES11_RelSys_59"  "JES11_RelSys_60"  "JES11_RelSys_61"  "JES12_RelSys_62"  "JES12_RelSys_63"  "JES12_RelSys_64"  "JES12_RelSys_65"  "JES12_RelSys_66"  "JES12_RelSys_67"  "JES13_RelSys_68"  "JES13_RelSys_69"  "JES13_RelSys_70"  "JES13_RelSys_71"  "JES13_RelSys_72"  "JES13_RelSys_73"  "JES15_ForwardJES_89"  "JERRelSys_76"  "JERRelSys_77"  "JERRelSys_78"  "JERRelSys_79"  "JERRelSys_80"  "JERRelSys_81"  "CleaningEffRelSys_uncorr"  "MatchingRelSys2p76_75"  "RecoEffRelSys_83"  "RecoEffRelSys_84"  "RecoEffRelSys_85"  "RecoEffRelSys_86"  "TriggerEffRelSys_uncorr"  "UnfClosureRelSys2p76_74"  "YResoRelSys_82"  "atlas_lumi_2p76"  
      0.0    0.3      20    30         0.6    1.235061   2.5425e+06     1.362822        12.929937         0.000000         0.000000         0.000000         0.000000         0.000000          0.000000          0.000000          0.000000        10.961263         0.000000         0.000000         17.085029          0.000000          0.000000          0.000000          0.000000          0.000000          9.701468          0.000000          0.000000          0.000000          0.000000          0.000000          6.289977          0.000000          0.000000          0.000000          0.000000          0.000000                    0.000000          2.209355          0.000000          0.000000          0.000000          0.000000          0.000000          5.725492          0.000000          0.000000          0.000000          0.000000          0.000000          4.990060          0.000000          0.000000          0.000000          0.000000          0.000000          -0.006728           0.000000           0.000000           0.000000           0.000000           0.000000           0.012192           0.000000           0.000000           0.000000           0.000000           0.000000           2.035661           0.000000           0.000000           0.000000           0.000000           0.000000          -0.000254           0.000000           0.000000           0.000000           0.000000           0.000000               0.000000       -5.271439        0.000000        0.000000        0.000000        0.000000        0.000000                   -0.506030                 0.481250            2.000000            0.000000            0.000000            0.000000                   1.000000                  -0.065288          -0.280404                2.7  
      0.0    0.3      30    45         0.6    1.119579       300418     2.444348         7.835895         0.000000         0.000000         0.000000         0.000000         0.000000          0.000000          0.000000          0.000000        10.881818         0.000000         0.000000          9.564130          0.000000          0.000000          0.000000          0.000000          0.000000          8.122997          0.000000          0.000000          0.000000          0.000000          0.000000          1.781812          0.000000          0.000000          0.000000          0.000000          0.000000                    0.000000          2.688622          0.000000          0.000000          0.000000          0.000000          0.000000          3.907018          0.000000          0.000000          0.000000          0.000000          0.000000          4.845453          0.000000          0.000000          0.000000          0.000000          0.000000          -0.023150           0.000000           0.000000           0.000000           0.000000           0.000000          -0.033232           0.000000           0.000000           0.000000           0.000000           0.000000           4.055213           0.000000           0.000000           0.000000           0.000000           0.000000          -0.001160           0.000000           0.000000           0.000000           0.000000           0.000000               0.000000       -3.560768        0.000000        0.000000        0.000000        0.000000        0.000000                   -0.500013                 0.118529            1.000000            0.000000            0.000000            0.000000                   1.000000                   0.047002          -0.089653                2.7  
      0.0    0.3      45    60         0.6    1.060563      47415.7     2.195212         1.259756         0.000000         0.000000         0.000000         0.000000         0.000000          0.000000          0.000000          0.000000         7.241708         0.000000         0.000000          3.826662          0.000000          0.000000          0.000000          0.000000          0.000000          3.646196          0.000000          0.000000          0.000000          0.000000          0.000000          0.890636          0.000000          0.000000          0.000000          0.000000          0.000000                    0.000000          2.865121          0.000000          0.000000          0.000000          0.000000          0.000000          1.988261          0.000000          0.000000          0.000000          0.000000          0.000000          4.105462          0.000000          0.000000          0.000000          0.000000          0.000000           0.094340           0.000000           0.000000           0.000000           0.000000           0.000000           0.006906           0.000000           0.000000           0.000000           0.000000           0.000000           4.673913           0.000000           0.000000           0.000000           0.000000           0.000000          -0.005364           0.000000           0.000000           0.000000           0.000000           0.000000               0.000000       -2.671835        0.000000        0.000000        0.000000        0.000000        0.000000                   -0.500013                 0.110020            1.000000            0.000000            0.000000            0.000000                   1.000000                   0.139362          -0.009035                2.7  
      0.0    0.3      60    80         0.6    1.034016      10084.9     1.013780        -1.184214         0.000000         0.000000         0.000000         0.000000         0.000000          0.000000          0.000000          0.000000         7.224391         0.000000         0.000000          1.297490          0.000000          0.000000          0.000000          0.000000          0.000000          4.092385          0.000000          0.000000          0.000000          0.000000          0.000000          1.086725          0.000000          0.000000          0.000000          0.000000          0.000000                    0.000000          3.499386          0.000000          0.000000          0.000000          0.000000          0.000000          1.726361          0.000000          0.000000          0.000000          0.000000          0.000000          5.044913          0.000000          0.000000          0.000000          0.000000          0.000000           0.586710           0.000000           0.000000           0.000000           0.000000           0.000000           0.037733           0.000000           0.000000           0.000000           0.000000           0.000000           4.826914           0.000000           0.000000           0.000000           0.000000           0.000000          -0.080207           0.000000           0.000000           0.000000           0.000000           0.000000               0.000000        0.264146        0.000000        0.000000        0.000000        0.000000        0.000000                   -0.500013                 0.028326            1.000000            0.000000            0.000000            0.000000                   1.000000                   0.137380          -0.128237                2.7  
      0.0    0.3      80   110         0.6    1.020816      1836.43     1.477004        -0.457157         0.000000         0.000000         0.000000         0.000000         0.000000          0.000000          0.000000          0.000000         6.889479         0.000000         0.000000          1.520774          0.000000          0.000000          0.000000          0.000000          0.000000          4.606031          0.000000          0.000000          0.000000          0.000000          0.000000          1.193767          0.000000          0.000000          0.000000          0.000000          0.000000                    0.000000          3.636215          0.000000          0.000000          0.000000          0.000000          0.000000          1.608878          0.000000          0.000000          0.000000          0.000000          0.000000          5.417939          0.000000          0.000000          0.000000          0.000000          0.000000           1.086178           0.000000           0.000000           0.000000           0.000000           0.000000           0.126525           0.000000           0.000000           0.000000           0.000000           0.000000           2.504446           0.000000           0.000000           0.000000           0.000000           0.000000           0.076245           0.000000           0.000000           0.000000           0.000000           0.000000               0.000000       -1.575720        0.000000        0.000000        0.000000        0.000000        0.000000                   -0.500013                 0.008238            1.000000            0.000000            0.000000            0.000000                   1.000000                   0.127343          -0.021127                2.7  
      0.0    0.3     110   160         0.6    1.017588      255.297     2.826636        -0.048680         0.000000         0.000000         0.000000         0.000000         0.000000          0.000000          0.000000          0.000000         4.819061         0.000000         0.000000          3.023178          0.000000          0.000000          0.000000          0.000000          0.000000          3.233395          0.000000          0.000000          0.000000          0.000000          0.000000          1.113480          0.000000          0.000000          0.000000          0.000000          0.000000                    0.000000          3.112352          0.000000          0.000000          0.000000          0.000000          0.000000          0.937064          0.000000          0.000000          0.000000          0.000000          0.000000          5.769770          0.000000          0.000000          0.000000          0.000000          0.000000           1.676196           0.000000           0.000000           0.000000           0.000000           0.000000           0.152132           0.000000           0.000000           0.000000           0.000000           0.000000          -0.248307           0.000000           0.000000           0.000000           0.000000           0.000000           1.538123           0.000000           0.000000           0.000000           0.000000           0.000000              -0.000000       -0.425077        0.000000        0.000000        0.000000        0.000000        0.000000                   -0.500013                 0.005504            1.000000            0.000000            0.000000            0.000000                   1.000000                   0.192032          -0.002967                2.7  
      0.0    0.3     160   210         0.6    1.017185       31.881     7.863084        -0.004057         0.000000         0.000000         0.000000         0.000000         0.000000          0.000000          0.000000          0.000000         6.844433         0.000000         0.000000          4.902070          0.000000          0.000000          0.000000          0.000000          0.000000          2.031693          0.000000          0.000000          0.000000          0.000000          0.000000          1.406343          0.000000          0.000000          0.000000          0.000000          0.000000                    0.000000          2.997669          0.000000          0.000000          0.000000          0.000000          0.000000          0.882858          0.000000          0.000000          0.000000          0.000000          0.000000          6.835781          0.000000          0.000000          0.000000          0.000000          0.000000           2.883173           0.000000           0.000000           0.000000           0.000000           0.000000           0.334145           0.000000           0.000000           0.000000           0.000000           0.000000          -0.296905           0.000000           0.000000           0.000000           0.000000           0.000000           5.538827           0.000000           0.000000           0.000000           0.000000           0.000000               0.000000       -0.905406        0.000000        0.000000        0.000000        0.000000        0.000000                   -0.500013                 0.009351            1.000000            0.000000            0.000000            0.000000                   1.000000                   0.405673           0.097950                2.7  
      0.0    0.3     210   260         0.6    1.017165        5.418    17.316360        -0.000878         0.000000         0.000000         0.000000         0.000000         0.000000          0.000000          0.000000          0.000000         7.964389         0.000000         0.000000          4.197909          0.000000          0.000000          0.000000          0.000000          0.000000          1.564625          0.000000          0.000000          0.000000          0.000000          0.000000          1.931245          0.000000          0.000000          0.000000          0.000000          0.000000                    0.000000          2.949405          0.000000          0.000000          0.000000          0.000000          0.000000          0.648595          0.000000          0.000000          0.000000          0.000000          0.000000          7.109745          0.000000          0.000000          0.000000          0.000000          0.000000           3.802610           0.000000           0.000000           0.000000           0.000000           0.000000           0.280882           0.000000           0.000000           0.000000           0.000000           0.000000          -0.059832           0.000000           0.000000           0.000000           0.000000           0.000000           7.365925           0.000000           0.000000           0.000000           0.000000           0.000000               0.000000       -1.039252        0.000000        0.000000        0.000000        0.000000        0.000000                   -0.500013                 0.006846            1.000000            0.000000            0.000000            0.000000                   1.000000                   0.425232           0.153185                2.7  
