# -*-sh-*-
#
#  "Measurement of the Inclusive Jet Cross Section using the {\boldmath kT} algorithmin{\boldmath pp¯¯¯} 
#   Collisions at{\boldmath s√} = 1.96 TeV with the CDF II Detector"
#   by CDF collaboration.
#
# Published in Phys.Rev. D75 (2007) 092006 
# Erratum in Phys.Rev. D75 (2007) 119901
# Preprinted as FERMILAB-PUB-07-026-E
# Archived as  hep-ex/0701051
# Inspire      743342
# Data table prepared by DB
# values taken from publication
#


##########################################################
#  General parameters of this dataset
##########################################################

AlposName           "bla" # not used
Description         "CDF Inclusive kt-jets 2007"
Reference           "Phys.Rev. D75 (2007) 092006, eratum Phys.Rev. D75 (2007) 119901 [hep-ex/0701051]"

##########################################################
#  Theory function settings
##########################################################
TheoryFunction		         fastNLO    # e.g. fastNLO, fastNLOalt, ...


##########################################################
#  fastNLO parameters, specific to this dataset
#  not specified parameters are taken from default as
#  specified in the global steering file
##########################################################
Filename			theoryfiles/fnt2004_cv21_I743342.tab
Units				1      # 0: absoluteUnits, 1: PublicationUnits
MuRFuncForm			0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean
MuFFuncForm		        0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean

##########################################################
#  Data table 
#  
#  Necessary keys are:
#   + ErrorSet           (Specifies the 'set' of error, which may correlated to other data sets)
#   + Data		 (the data table, bin boundaries, and errors)
#   + Errors		 (specify the used errors, and its nature)
#   + TheoryFactors     (multiplicative factors to be applied on theory) 
#   + TheoryErrors	 (additional errors on the theory [as sepcified in 'Data'])
# 
##########################################################

# Path: /HepData/1368/d1-x1-y1
# Measured inclusive jet differential cross section as a function of PT for the rapidity range -0.1 to 0.1 with the jet resolution parameter D = 0.7.
# Location: T 4, F 9
# ABS(YRAP(P=3)) : < 0.1
# RE : PBAR P --> JET X
# sqrts : 1960.0 GeV
# sqrts : 1960.0 GeV
# x: PT(P=3) IN GEV
# y : D2(SIG)/DPT/DYRAP IN NB/GEV
# #
#

	
Data	{{
 Bin   ptmin   ptmax   ptavg    ybin    ymin    ymax   Sigma    stat    sys+    sys-   JES1+   JES1-   JES2+   JES2-   JES3+   JES3-   JES4+   JES4-  beta1+  beta1-  beta2+  beta2-  beta3+  beta3-  beta4+  beta4-  beta5+  beta5-  beta6+  beta6-  beta7+  beta7-    res+    res-   mipt+   mipt-  unfold   spect    lumi      NP   NPerr
   1      54      62      58       1       0       0    14.5     3.4    13.8   -13.1     9.3    -8.4     3.9    -3.5     1.6    -1.4     1.4    -1.3     1.4    -2.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    -9.3     2.8     1.8    -1.7     8.2     1.5     5.8   1.177    10.5
   2      62      72      67       1       0       0    6.68     1.2    12.7   -12.6     8.9    -8.5     3.5    -3.3     1.6    -1.5     1.9    -1.8     1.7    -2.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    -9.4     2.8     1.6    -1.5     7.1     1.4     5.8   1.144     8.5
   3      72      83      78       1       0       0    2.87     1.7    12.2   -11.8     8.6    -8.5     3.1    -3.0     1.6    -1.6     2.4    -2.3     1.9    -2.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    -9.4     2.9     1.4    -1.3     6.2     1.3     5.8   1.119     6.9
   4      83      96      90       1       0       0    1.24     1.6    11.3   -11.3     8.4    -8.5     2.7    -2.7     1.6    -1.6     2.8    -2.9     2.1    -2.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    -9.5     2.9     1.3    -1.1     5.4     1.1     5.8   1.098     5.6
   5      96     110     103       1       0       0   0.531     2.1    11.3   -11.5     8.4    -8.4     2.5    -2.5     1.6    -1.6     3.4    -3.4     2.3    -2.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    -9.6     2.9     1.1    -1.0     4.7     1.0     5.8   1.083     4.5
   6     110     127     118       1       0       0   0.233     2.6    11.6   -11.2     8.5    -8.5     2.2    -2.2     1.6    -1.6     4.1    -4.1     2.5    -2.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    -9.8     3.0     1.0    -0.9     4.2     0.9     5.8   1.070     3.6
   7     127     146     136       1       0       0  0.0936     1.3    11.8   -11.5     8.8    -8.6     2.1    -2.0     1.6    -1.5     5.0    -4.9     2.7    -2.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0   -10.2     3.1     0.9    -0.8     3.7     0.8     5.8   1.060     3.0
   8     146     169     158       1       0       0  0.0363     1.7    12.4   -11.8     9.2    -8.9     1.9    -1.9     1.6    -1.5     5.9    -5.7     2.8    -2.6     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0   -10.8     3.1     0.8    -0.8     3.2     0.6     5.8   1.052     2.5
   9     169     195     182       1       0       0  0.0139     0.7    13.7   -12.9     9.9    -9.3     1.8    -1.7     1.6    -1.5     7.1    -6.6     2.9    -2.7     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0   -11.6     3.3     0.7    -0.7     2.8     0.5     5.8   1.046     2.0
  10     195     224     210       1       0       0 0.00522     1.1    14.8   -13.8    10.8    -9.9     1.7    -1.6     1.6    -1.5     8.4    -7.8     3.0    -2.9     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0   -12.8     3.4     0.6    -0.7     2.5     0.4     5.8   1.041     1.6
