# -*-sh-*-
#
#  "Measurement of the Inclusive Jet Cross Section
#   at the Fermilab Tevatron p anti-p Collider Using a Cone-Based Jet Algorithm"
#   by CDF collaboration.
#
# Published in PR D78,052006
# Erratum in PR D79,119902
# Preprinted as FERMILAB-PUB-08-243-E
# Archived as ARXIV:0807.2204
#
# Uncertaities are symmetrizated as errsym = sign("1")*max(|"1"|,|"2"|)
#
# Data file adapted from HERAFitter data file
#
# List of columns:
# Column 1 is a number of a rapidity bin
# Column 2 is a mean value for Pt bin
# Column 3 is a low value for Pt bin
# Column 4 is a up value for Pt bin
# Column 5 is the jet cross section
# Column 6 is the stat uncertainty for the jet cross section
# Column 7 is the sys uncertainty for the jet cross section (the sum of all sys. uncertainites?!)
# Column 8 is the non-perturbative correction
# Column 9 is the uncertainty for the non-perturbative correction
# Column 10 is the total jet energy scale uncertainty
# Columns 11-14 are the four contributions into the total jet energy scale uncertainty
#  they are considered independent and fully correlated over Pt and rapidity
# Column 15 is the dijet Pt balance nominal uncertainty
# Column 16-17 are the dijet Pt balance additional uncertainty
#  it is correlated over Pt and uncorrelated across different rapidity regions
# Column 18 is the pileup correction uncertainty
# Column 19 is the jet unfolding uncertainty
# Columns 20-24 are the uncertainty in the unfolding correction due to the dependence
#  on the jet Pt spectra, it is correlated over Pt
#  and uncorrelated across different rapidity regions
# Columns 25-29 are the jet energy resolution uncertaity
#  it is correlated over Pt and uncorrelated across different rapidity regions
# Column 30 is the luminosity uncertainty
#


##########################################################
#  General parameters of this dataset
##########################################################

AlposName           "bla" # not used
Description         "CDF Inclusive jets 2007"
Reference           "PRD 78, 052006 (2007), Erratum PRD 79,119902 [arXiv:0807.2204]"

##########################################################
#  Theory function settings
##########################################################
TheoryFunction		         fastNLO    # e.g. fastNLO, fastNLOalt, ...


##########################################################
#  fastNLO parameters, specific to this dataset
#  not specified parameters are taken from default as
#  specified in the global steering file
##########################################################
Filename			theoryfiles/fnt2007midp_cv21_I790693.tab
Units				1      # 0: absoluteUnits, 1: PublicationUnits
MuRFuncForm			0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean
MuFFuncForm		        0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean

##########################################################
#  Data table 
#  
#  Necessary keys are:
#   + ErrorSet           (Specifies the 'set' of error, which may correlated to other data sets)
#   + Data		 (the data table, bin boundaries, and errors)
#   + Errors		 (specify the used errors, and its nature)
#   + TheoryFactors     (multiplicative factors to be applied on theory) 
#   + TheoryErrors	 (additional errors on the theory [as sepcified in 'Data'])
# 
##########################################################


Data {{
EtaBin  <pt> pt1   pt2       Sigma      stat            SysTot     NPCorr    NP.err  JEStot     sys1      sys2 sys3 sys4  sys5   sys6  sys7  sys8  sys9 sys10 sys11 sys12      sys13     sys14    sys15     sys16      sys17    sys18      sys19    sys20
1 67     62.0      72.0      6.68     1.79641    	9.13174   1.072     0.107     6.7       6.0       2.4  1.1   1.3   2.3    0.0   0.0   1.9   3.7   0.1   0.0   0.0       0.0       0.0       3.9       0.0       0.0       0.0       0.0       6.0       
1 77.5   72.0      83.0      2.95     2.0339    	9.49153   1.054     0.086     7.3       6.6       2.3  1.3   1.8   2.0    0.0   0.0   1.8   3.6   0.2   0.0   0.0       0.0       0.0       3.9       0.0       0.0       0.0       0.0       6.0       
1 89.5   83.0      96.0      1.21     3.30579    	9.91736   1.040     0.069     7.9       7.0       2.3  1.4   2.4   2.3    0.0   0.0   1.7   3.5   1.0   0.0   0.0       0.0       0.0       3.9       0.0       0.0       0.0       0.0       6.0       
1 103    96.0      110.0     5.44E-1  4.41176    	10.4779   1.028     0.055     8.6       7.5       2.2  1.5   3.1   2.4    0.0   0.0   1.6   3.3   0.6   0.0   0.0       0.0       0.0       4.0       0.0       0.0       0.0       0.0       6.0       
1 118.5  110.0     127.0     2.28E-1  1.31579    	10.9649   1.020     0.043     9.5       8.2       2.2  1.6   4.0   2.0    0.0   0.0   1.5   3.2   0.7   0.0   0.0       0.0       0.0       4.0       0.0       0.0       0.0       0.0       6.0       
1 136.5  127.0     146.0     9.18E-2  1.52505    	12.0915   1.013     0.033     10.4      8.7       2.1  1.6   5.0   2.6    0.0   0.0   1.3   3.1   1.5   0.0   0.0       0.0       0.0       4.1       0.0       0.0       0.0       0.0       6.0       
1 157.5  146.0     169.0     3.76E-2  1.32979    	13.0319   1.007     0.024     11.5      9.4       2.0  1.6   6.1   2.6    0.0   0.0   1.2   2.9   1.1   0.0   0.0       0.0       0.0       4.2       0.0       0.0       0.0       0.0       6.0       
1 182    169.0     195.0     1.38E-2  2.17391    	14.4928   1.003     0.017     12.8      10.2      1.9  1.7   7.3   3.1    0.0   0.0   1.1   2.7   1.6   0.0   0.0       0.0       0.0       4.5       0.0       0.0       0.0       0.0       6.0       
1 209.5  195.0     224.0     5.30E-3  5.28302    	15.6604   1.000     0.012     14.2      11.0      1.8  1.7   8.6   3.2    0.0   0.0   1.0   2.5   1.2   0.0   0.0       0.0       0.0       4.8       0.0       0.0       0.0       0.0       6.0       
1 241.5  224.0     259.0     1.84E-3  2.17391    	17.3913   0.998     0.008     15.9      12.0      1.7  1.7   10.1  2.8    0.0   0.0   1.0   2.3   1.6   0.0   0.0       0.0       0.0       5.2       0.0       0.0       0.0       0.0       6.0       
1 278.5  259.0     298.0     5.93E-4  1.85497    	19.2243   0.996     0.004     17.8      13.1      1.6  1.7   11.8  3.4    0.0   0.0   0.9   2.1   0.8   0.0   0.0       0.0       0.0       5.8       0.0       0.0       0.0       0.0       6.0       
1 321    298.0     344.0     1.75E-4  3.42857    	21.7143   0.996     0.002     19.9      14.3      1.6  1.7   13.6  4.2    0.0   0.0   0.9   1.9   0.2   0.0   0.0       0.0       0.0       6.6       0.0       0.0       0.0       0.0       6.0       
1 370    344.0     396.0     5.06E-5  5.13834    	24.1107   0.996     0.000     22.4      15.7      1.5  1.6   15.8  4.0    0.0   0.0   0.9   1.7   0.4   0.0   0.0       0.0       0.0       7.8       0.0       0.0       0.0       0.0       6.0       
1 426.5  396.0     457.0     1.24E-5  8.87097    	27.4194   0.996     0.001     25.1      17.3      1.5  1.6   18.0  5.1    0.0   0.0   0.9   1.5   2.2   0.0   0.0       0.0       0.0       9.5       0.0       0.0       0.0       0.0       6.0       
1 492    457.0     527.0     2.81E-6  18.8612    	32.7402   0.997     0.002     28.3      19.2      1.4  1.6   20.7  5.7    0.0   0.0   0.8   1.4   9.3   0.0   0.0       0.0       0.0       11.7      0.0       0.0       0.0       0.0       6.0       
1 613.5  527.0     700.0     1.81E-7  44.7514    	43.0939   1.000     0.001     34.0      22.6      1.4  1.7   25.3  6.0    0.0   0.0   0.8   1.4   19.1  0.0   0.0       0.0       0.0       16.9      0.0       0.0       0.0       0.0       6.0       
2 67     62.0      72.0      6.28     0.636943    	9.3949    1.072     0.108     7.4       6.7       2.6  1.2   1.5   2.2    0.0   0.0   1.9   3.7   0.0   0.5   0.0       0.0       0.0       0.0       3.5       0.0       0.0       0.0       6.0       
2 77.5   72.0      83.0      2.70     0.740741          9.62963   1.055      0.088     7.8       7.0       2.5  1.3   1.9   2.3    0.0   0.0   1.7   3.5   0.0   0.5   0.0       0.0       0.0       0.0       3.4       0.0       0.0       0.0       6.0       
2 89.5   83.0      96.0      1.15     0.869565    	9.56522   1.041     0.071     8.3       7.4       2.4  1.5   2.5   2.2    0.0   0.0   1.6   3.4   0.0   0.5   0.0       0.0       0.0       0.0       3.4       0.0       0.0       0.0       6.0       
2 103    96.0      110.0     4.88E-1  0.614754    	10.4508   1.030     0.057     8.8       7.7       2.3  1.5   3.2   2.4    0.0   0.0   1.4   3.3   0.0   0.7   0.0       0.0       0.0       0.0       3.3       0.0       0.0       0.0       6.0       
