#-*-sh-*-
# 
# H1 HERA-II polarized data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "bla-33"  # A unique alpos name 
Description                    	"H1 CC High-Q2 e-p 98-99"
Reference                       "EPJ C19 (2001) 269 [hep-ex/0012052]" # Used in: JHEP 09 (2012) 061, arXiv:1206.7007" 
arXiv                           hep-ex/0012052
Inspire                         539088



########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                   QcdnumDISCS


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           318.       # sqrt-s only needed if y is not given in table
e-charge                         -1.
e-polarity                       0.
IsReducedCS                      false
IsNC                             false


##########################################################          
#
#   Data table
#
##########################################################          

#   ColumnType = 3*'Bin','Sigma',12*'Error'
#   ColumnName = 'Q2','x','y','reduced x-section',2*'ignore','stat','uncor',2*'ignore','V2','H2','N1','B2','xlum_4','corlum'
# Q2      x     ds/dxdq2  tot   stat  unc   u^h   cor    c^V+   c^h+   c^N+   c^B+ 1.72916 0.5
#GeV^2          pb/GeV^2    %     %    %     %     %      %      %      %      % 1.72916 0.5

Data {{
 Q2        x        y        Sigma    ??       tot       stat      unc       u^h       cor      c^V+      c^h+      c^N+      c^B+      1.72916   0.5
300.000000 0.013000 0.227000 0.458000 0.773000 57.600000 55.400000 7.400000 2.200000 13.900000  12.100000 -1.600000 1.000000 -6.500000 1.729162 0.500000
300.000000 0.032000 0.092000 0.399000 1.658000 27.300000 24.500000 5.200000 2.300000 10.900000  10.000000 -2.000000 1.800000 -3.300000 1.729162 0.500000
300.000000 0.080000 0.037000 0.069000 0.717000 42.300000 40.700000 8.700000 2.300000 7.600000  4.700000 -1.700000 1.400000 -5.600000 1.729162 0.500000
500.000000 0.013000 0.379000 0.433000 0.775000 39.900000 37.600000 5.900000 2.800000 12.000000  11.600000 -1.700000 0.500000 -2.300000 1.729162 0.500000
500.000000 0.032000 0.154000 0.285000 1.257000 21.000000 19.600000 5.000000 3.000000 6.000000  3.700000 -1.800000 0.400000 -4.300000 1.729162 0.500000
500.000000 0.080000 0.061000 0.079000 0.870000 22.400000 21.800000 4.300000 3.000000 2.800000  1.100000 -1.400000 2.100000 -0.400000 1.729162 0.500000
500.000000 0.130000 0.038000 0.055100 0.986000 29.900000 29.000000 6.500000 3.000000 2.700000  0.200000 -1.300000 2.200000 -0.700000 1.729162 0.500000
1000.000000 0.032000 0.308000 0.186000 0.941000 18.200000 17.500000 4.400000 1.800000 2.200000  1.500000 -1.100000 1.000000 -0.600000 1.729162 0.500000
1000.000000 0.080000 0.123000 0.055600 0.703000 18.400000 17.900000 4.000000 1.800000 1.600000  0.500000 -1.000000 1.200000 0.000000 1.729162 0.500000
1000.000000 0.130000 0.076000 0.031000 0.637000 24.500000 24.000000 4.400000 1.800000 1.400000  0.100000 -1.000000 1.000000 0.000000 1.729162 0.500000
1000.000000 0.250000 0.039000 0.013900 0.548000 39.100000 37.600000 10.500000 1.700000 1.400000  0.000000 -0.200000 -1.400000 0.000000 1.729162 0.500000
2000.000000 0.032000 0.615000 0.132000 0.859000 16.200000 15.500000 4.300000 2.000000 2.400000  2.000000 -1.300000 -0.300000 -0.100000 1.729162 0.500000
2000.000000 0.080000 0.246000 0.057100 0.929000 13.600000 13.000000 3.800000 2.000000 1.100000  0.600000 -0.500000 0.700000 -0.100000 1.729162 0.500000
2000.000000 0.130000 0.152000 0.019700 0.521000 21.700000 21.200000 4.400000 2.000000 1.100000  0.100000 -0.800000 0.700000 -0.200000 1.729162 0.500000
2000.000000 0.250000 0.079000 0.008550 0.435000 26.400000 25.600000 6.500000 0.700000 0.800000  0.000000 -0.700000 -0.300000 0.000000 1.729162 0.500000
3000.000000 0.080000 0.369000 0.032400 0.659000 14.800000 14.000000 4.600000 0.700000 1.400000  0.700000 -1.200000 0.300000 0.000000 1.729162 0.500000
3000.000000 0.130000 0.227000 0.025000 0.827000 15.200000 14.000000 6.100000 0.700000 0.700000  0.200000 0.400000 0.600000 0.000000 1.729162 0.500000
3000.000000 0.250000 0.118000 0.007490 0.476000 20.100000 18.900000 6.800000 0.800000 1.500000  0.000000 -0.700000 1.300000 0.000000 1.729162 0.500000
3000.000000 0.400000 0.074000 0.002510 0.255000 40.300000 35.200000 17.100000 4.400000 9.700000  0.000000 1.700000 -9.500000 0.000000 1.729162 0.500000
5000.000000 0.080000 0.615000 0.021300 0.637000 19.200000 17.900000 6.500000 4.400000 1.600000  1.000000 0.500000 1.100000 0.000000 1.729162 0.500000
5000.000000 0.130000 0.379000 0.010800 0.525000 18.200000 16.800000 7.000000 4.400000 0.800000  0.100000 0.700000 0.400000 0.000000 1.729162 0.500000
5000.000000 0.250000 0.197000 0.005500 0.512000 16.900000 16.300000 4.300000 0.700000 1.000000  0.000000 -0.100000 1.000000 0.000000 1.729162 0.500000
5000.000000 0.400000 0.123000 0.001230 0.183000 35.600000 33.100000 12.400000 6.200000 4.300000  0.000000 3.600000 -2.400000 0.000000 1.729162 0.500000
8000.000000 0.130000 0.606000 0.007220 0.557000 21.100000 18.900000 8.900000 6.200000 2.600000  0.700000 2.100000 1.300000 0.000000 1.729162 0.500000
8000.000000 0.250000 0.315000 0.003420 0.508000 17.400000 16.300000 6.000000 2.500000 1.500000  0.100000 1.500000 0.100000 0.000000 1.729162 0.500000
8000.000000 0.400000 0.197000 0.000946 0.225000 30.400000 28.600000 9.400000 6.700000 4.100000  0.000000 4.100000 0.400000 0.000000 1.729162 0.500000
15000.000000 0.250000 0.591000 0.001390 0.453000 27.300000 22.100000 15.400000 7.100000 4.400000  0.200000 4.200000 1.300000 0.000000 1.729162 0.500000
15000.000000 0.400000 0.369000 0.000419 0.219000 29.500000 27.500000 9.300000 7.900000 5.200000  0.000000 5.100000 1.000000 0.000000 1.729162 0.500000
}}



Subsets { Q2 }

Cuts { }

TheoryFactors { }

ErrorSet                   "H1"
ErrorUnit                  percent

SysCorr                   1

Errors {{
 ErrorName       Column           Correlation      Nature
  Stat            stat              0               P
  unc             unc               0               M
#u^h
#       cor
  V2             c^V+              ${SysCorr}       M
  H2             c^h+              ${SysCorr}       M
  N1             c^N+              ${SysCorr}       M 
  B2             c^B+              ${SysCorr}       M 
  xlum_4         1.72916          ${SysCorr}       M
  corlum         0.5              ${SysCorr}       M
}}

