#-*-sh-*-
# 
# H1 HERA-I+HERA-II diffractive DIS data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "H1-DDIS-HERAII-FPS-4D"  # A unique alpos name 
Description                    	"H1 DDIS FPS 4D NC 2004-2007"
Reference                       "Eur.Phys.J.C71 (2011) 1578" 
arXiv                           1010.1476
Inspire                         872187
Title                           "Measurement of the Diffractive Deep-Inelastic Scattering Cross Section with a Leading Proton at HERA"



########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                   QcdnumDDISCS


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           319.       # sqrt-s only needed if y is not given in table
e-charge                         -1.
e-polarity                       0.
IsReducedCS                      true
IsNC                             true
Is4D                             true

##########################################################          
#
#   Data table
#
##########################################################          

#         Diffractive Reduced Cross Section
#         table 3 of DESY 10-095
#https://www-h1.desy.de/psfiles/figures/d10-095.table3.txt

#mxBin: 0,4,10,15,20,30,50,100
#
#  Q2  beta  xp  HadEn  ElecEn  ElecTh  DifBeta  DifXpom  DifT  EpFPS  PxFPS  PyFPS  DifQ2  VtxEff  Backgr  Bcccor
#  GeV2  %  %  %  %  %  %  %  %  %  %  %  %      
#  GeV2  %  %  %  %  %  %  %  %  %  %  %  %      
#  GeV2  %  %  %  %  %  %  %  %  %  %  %  %      
#   5.1  0.0018  0.0500 -0.2  4.2  0.7 -0.9  0.0 -2.8  1.1  5.0  2.9  1.5 -2.4 -1.1  1.0  
#   5.1  0.0018  0.0500 -0.2  4.2  0.7 -0.9  0.0 -2.8  1.1  5.0  2.9  1.5 -2.4 -1.1  1.0  
#   5.1  0.0018  0.0500 -0.2  4.2  0.7 -0.9  0.0 -2.8  1.1  5.0  2.9  1.5 -2.4 -1.1  1.0  
#   5.1  0.0018  0.0750 -0.1  1.1  2.7 -0.4  0.1 -3.1  0.8  4.7  2.1  1.0 -0.9 -1.7  0.3  
#   5.1  0.0018  0.0750 -0.1  1.1  2.7 -0.4  0.1 -3.1  0.8  4.7  2.1  1.0 -0.9 -1.7  0.3  
#   5.1  0.0018  0.0750 -0.1  1.1  2.7 -0.4  0.1 -3.1  0.8  4.7  2.1  1.0 -0.9 -1.7  0.3  
#   5.1  0.0056  0.0160 -0.5  2.8  3.1 -0.9 -0.1  1.1  3.0  6.4  1.3  1.9 -3.0 -1.6  1.2  
#   5.1  0.0056  0.0160 -0.5  2.8  3.1 -0.9 -0.1  1.1  3.0  6.4  1.3  1.9 -3.0 -1.6  1.2  
#   5.1  0.0056  0.0160 -0.5  2.8  3.1 -0.9 -0.1  1.1  3.0  6.4  1.3  1.9 -3.0 -1.6  1.2  
#   5.1  0.0056  0.0250  0.0  2.2  3.5 -0.4  0.0  0.2  1.5  6.3  1.5  1.7 -1.5 -0.7  0.5  
#   5.1  0.0056  0.0250  0.0  2.2  3.5 -0.4  0.0  0.2  1.5  6.3  1.5  1.7 -1.5 -0.7  0.5  
#   5.1  0.0056  0.0250  0.0  2.2  3.5 -0.4  0.0  0.2  1.5  6.3  1.5  1.7 -1.5 -0.7  0.5  
#   5.1  0.0056  0.0350 -0.3  1.2  3.7  0.0  0.1  0.1  2.2  5.0  2.2  1.2 -0.8 -0.3  0.3  
#   5.1  0.0056  0.0350 -0.3  1.2  3.7  0.0  0.1  0.1  2.2  5.0  2.2  1.2 -0.8 -0.3  0.3  
#   5.1  0.0056  0.0350 -0.3  1.2  3.7  0.0  0.1  0.1  2.2  5.0  2.2  1.2 -0.8 -0.3  0.3  
#   5.1  0.0056  0.0500  0.0 -1.0  6.9 -0.2  0.1 -1.1  0.3  4.1  2.9  1.4 -0.8 -0.4  0.2  
#   5.1  0.0056  0.0500  0.0 -1.0  6.9 -0.2  0.1 -1.1  0.3  4.1  2.9  1.4 -0.8 -0.4  0.2  
#   5.1  0.0056  0.0500  0.0 -1.0  6.9 -0.2  0.1 -1.1  0.3  4.1  2.9  1.4 -0.8 -0.4  0.2  
#   5.1  0.0056  0.0750  0.0 -0.6  7.3 -0.6  0.2 -3.7 -0.1  4.1  3.7  1.2 -0.8 -2.0  0.2  
#   5.1  0.0056  0.0750  0.0 -0.6  7.3 -0.6  0.2 -3.7 -0.1  4.1  3.7  1.2 -0.8 -2.0  0.2  
#   5.1  0.0056  0.0750  0.0 -0.6  7.3 -0.6  0.2 -3.7 -0.1  4.1  3.7  1.2 -0.8 -2.0  0.2  
#   5.1  0.0178  0.0085 -6.7  2.0  4.2 -0.7 -0.1  0.6  1.1  5.2  0.9  1.3 -1.3 -2.7  1.1  
#   5.1  0.0178  0.0085 -6.7  2.0  4.2 -0.7 -0.1  0.6  1.1  5.2  0.9  1.3 -1.3 -2.7  1.1  
#   5.1  0.0178  0.0085 -6.7  2.0  4.2 -0.7 -0.1  0.6  1.1  5.2  0.9  1.3 -1.3 -2.7  1.1  
#   5.1  0.0178  0.0160  0.2  0.2  5.6  0.1  0.1  0.8  4.3  5.1  1.3  1.1 -0.9 -1.2  0.3  
#   5.1  0.0178  0.0160  0.2  0.2  5.6  0.1  0.1  0.8  4.3  5.1  1.3  1.1 -0.9 -1.2  0.3  
#   5.1  0.0178  0.0160  0.2  0.2  5.6  0.1  0.1  0.8  4.3  5.1  1.3  1.1 -0.9 -1.2  0.3  
#   5.1  0.0178  0.0250  0.0  0.7  6.4 -0.1  0.0  1.3  0.7  5.2  1.7  1.1 -1.2 -0.5  0.3  
#   5.1  0.0178  0.0250  0.0  0.7  6.4 -0.1  0.0  1.3  0.7  5.2  1.7  1.1 -1.2 -0.5  0.3  
#   5.1  0.0178  0.0250  0.0  0.7  6.4 -0.1  0.0  1.3  0.7  5.2  1.7  1.1 -1.2 -0.5  0.3  
#   5.1  0.0178  0.0350  0.0  0.5  7.0 -0.4  0.1  0.6  1.2  3.9  2.1  0.6 -1.1 -0.4  0.3  
#   5.1  0.0178  0.0350  0.0  0.5  7.0 -0.4  0.1  0.6  1.2  3.9  2.1  0.6 -1.1 -0.4  0.3  
#   5.1  0.0178  0.0350  0.0  0.5  7.0 -0.4  0.1  0.6  1.2  3.9  2.1  0.6 -1.1 -0.4  0.3  
#   5.1  0.0178  0.0500  0.0  0.8  6.5 -0.6  0.1 -1.7  1.3  3.8  3.1  0.2 -1.3 -0.3  0.2  
#   5.1  0.0178  0.0500  0.0  0.8  6.5 -0.6  0.1 -1.7  1.3  3.8  3.1  0.2 -1.3 -0.3  0.2  
#   5.1  0.0178  0.0500  0.0  0.8  6.5 -0.6  0.1 -1.7  1.3  3.8  3.1  0.2 -1.3 -0.3  0.2  
#   5.1  0.0178  0.0750  0.0  0.4  4.3 -0.4  0.2 -3.4  0.2  5.0  1.7 -0.2 -1.1 -2.2  0.2  
#   5.1  0.0178  0.0750  0.0  0.4  4.3 -0.4  0.2 -3.4  0.2  5.0  1.7 -0.2 -1.1 -2.2  0.2  
#   5.1  0.0178  0.0750  0.0  0.4  4.3 -0.4  0.2 -3.4  0.2  5.0  1.7 -0.2 -1.1 -2.2  0.2  
#   5.1  0.0562  0.0025 -4.3  0.7  2.9 -1.1  0.1 -0.2 -6.4  4.0  0.9  1.0 -1.1 -2.7  2.0  
#   5.1  0.0562  0.0025 -4.3  0.7  2.9 -1.1  0.1 -0.2 -6.4  4.0  0.9  1.0 -1.1 -2.7  2.0  
#   5.1  0.0562  0.0025 -4.3  0.7  2.9 -1.1  0.1 -0.2 -6.4  4.0  0.9  1.0 -1.1 -2.7  2.0  
#   5.1  0.0562  0.0085  2.5 -0.5  4.4  0.4  0.0  0.0  7.0  3.5  0.7  0.7 -0.8 -0.7  0.5  
#   5.1  0.0562  0.0085  2.5 -0.5  4.4  0.4  0.0  0.0  7.0  3.5  0.7  0.7 -0.8 -0.7  0.5  
#   5.1  0.0562  0.0085  2.5 -0.5  4.4  0.4  0.0  0.0  7.0  3.5  0.7  0.7 -0.8 -0.7  0.5  
#   5.1  0.0562  0.0160  0.0 -0.2  4.8 -0.8  0.0  0.8  3.8  5.5  1.3  0.5 -1.3 -1.3  0.3  
#   5.1  0.0562  0.0160  0.0 -0.2  4.8 -0.8  0.0  0.8  3.8  5.5  1.3  0.5 -1.3 -1.3  0.3  
#   5.1  0.0562  0.0160  0.0 -0.2  4.8 -0.8  0.0  0.8  3.8  5.5  1.3  0.5 -1.3 -1.3  0.3  
#   5.1  0.0562  0.0250  0.0 -1.7  2.3  0.5  0.2 -0.6  2.8  5.1  2.4 -0.3 -1.5 -0.6  0.3  
#   5.1  0.0562  0.0250  0.0 -1.7  2.3  0.5  0.2 -0.6  2.8  5.1  2.4 -0.3 -1.5 -0.6  0.3  
#   5.1  0.0562  0.0250  0.0 -1.7  2.3  0.5  0.2 -0.6  2.8  5.1  2.4 -0.3 -1.5 -0.6  0.3  
#   5.1  0.1780  0.0025 -2.3  0.2  6.5 -0.4  0.0 -0.8 -1.4  7.0  1.8  1.3 -1.4 -2.0  2.2  
