#-*-sh-*-
# 
# H1 HERA-II polarized data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "bla-33"  # A unique alpos name 
Description                    	"H1 CC e+p RH HERA II"
Reference                       "JHEP 09 (2012) 061 [arXiv:1206.7007]"
arXiv                           1206.7007
Title                           "Inclusive Deep Inelastic Scattering at High Q2 with Longitudinally Polarised Lepton Beams at HERA"
Inspire                         1120512



########################################################## 
#  Theory function settings 
#
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           318.       # sqrt-s only needed if y is not given in table
e-charge                         +1.
#e-polarity                       0.324957
e-polarity                       polEpRH
IsReducedCS                      false
IsNC                             false

PolErrUnc                        1.99
PolErrCorrLPol                   0.48
PolErrCorrTPol                   0.37


##########################################################          
#
#   Data table
#
##########################################################          

#   ColumnName = 'Q2','x', 'y','x-section','stat',2*'ignore', 'uncor',2*'ignore', 'V3','H3','N3','B2',12*'ignore','LUMI_HERAII_beta_500', 'L9'
Data {{
     Q2     x       y        Sigma      stat    syst    tot    uncor   unHadE  corr  corVap+ corHadE+  corN+ PythSub+ uncTr+  uncVer+ uncBGF+  QEDr    Ndata     N_MC   N_bgr d-b/s    sigma_MC     ACC    PUR     STA lumi norm
    300  0.0080  0.3692   7.6861e-01   49.32   31.13   58.32   25.85   -2.48   17.33   15.82   -0.73   -0.63   -5.20   25.66    1.50    1.00    0.65     20.0     17.1   10.9  0.529   1.4527e+00   14.6   36.4   32.6   2.3 1.5
    300  0.0130  0.2272   5.8547e-01   20.39   15.88   25.84   11.46   -1.67   10.98   10.32   -0.42    0.30   -2.78   11.14    1.72    1.00    0.64     51.0     51.0   16.0  0.687   8.5260e-01   33.1   44.1   44.1   2.3 1.5
    300  0.0320  0.0923   2.6992e-01   11.92    8.20   14.47    5.30   -1.65    6.24    5.37   -0.35    1.26   -2.55    3.84    2.93    1.29    0.63     90.0     79.8   10.4  0.997   2.7080e-01   60.3   46.9   56.0   2.3 1.5
    300  0.0800  0.0369   5.1389e-02   16.81    6.62   18.06    5.11   -2.29    4.18    1.89   -0.26   -2.91   -1.59    2.71    3.00    1.99    0.72     43.0     56.9    4.0  0.686   7.4925e-02   63.6   45.4   55.6   2.3 1.5
    500  0.0080  0.6154   1.5559e+00   23.17   24.03   33.38   16.23   -2.21   17.72   17.52   -0.60   -0.23   -0.48   15.96    1.50    1.00    0.73     22.0     14.4    1.8  1.402   1.1098e+00   15.6   29.6   28.6   2.3 1.5
    500  0.0130  0.3787   6.6264e-01   11.44   11.72   16.38    7.07   -1.98    9.33    9.21   -0.52   -0.26   -0.67    6.51    1.50    1.00    0.70     87.0     86.4    5.5  0.943   7.0243e-01   39.9   40.8   40.7   2.3 1.5
    500  0.0320  0.1538   2.4972e-01    8.54    4.91    9.85    3.33   -1.65    3.56    3.28   -0.61    0.44   -0.47    1.68    2.03    1.00    0.67    147.0    137.4    5.1  1.033   2.4178e-01   69.8   48.0   52.9   2.3 1.5
    500  0.0800  0.0615   5.9694e-02    9.84    3.92   10.59    3.58   -0.80    1.52    0.91   -0.15    0.18   -0.11    0.68    3.00    1.49    0.69    106.0    119.8    1.4  0.873   6.8382e-02   80.0   47.9   52.7   2.3 1.5
    500  0.1300  0.0379   2.6570e-02   23.71   12.94   27.01    5.66   -0.97   11.62    0.23   -1.00  -11.28   -0.00    4.17    3.00    2.00    0.79     18.0     21.9    0.1  0.818   3.2478e-02   30.3   46.5   32.9   2.3 1.5
   1000  0.0130  0.7574   3.8703e-01   12.50   11.32   16.87    6.10   -0.84    9.52    9.40   -0.54    0.65   -0.21    5.70    1.50    1.00    0.82     70.0     76.0    3.1  0.880   4.3973e-01   34.9   37.3   36.4   2.3 1.5
   1000  0.0320  0.3077   1.7422e-01    7.41    3.33    8.12    2.36   -0.90    2.30    1.97   -0.30    0.67   -0.12    0.99    1.50    1.00    0.74    187.0    188.1    2.4  0.981   1.7761e-01   72.3   46.4   50.1   2.3 1.5
   1000  0.0800  0.1231   5.0701e-02    7.82    3.17    8.44    2.83   -0.83    1.33    0.38   -0.36    0.74   -0.07    0.25    2.40    1.02    0.71    166.0    176.9    1.2  0.932   5.4427e-02   83.2   50.7   54.2   2.3 1.5
   1000  0.1300  0.0757   2.6472e-02   12.07    4.63   12.93    3.67   -0.88    2.79    0.07   -0.31   -2.30   -0.00    0.77    3.00    1.59    0.74     69.0     68.2    0.2  1.010   2.6209e-02   58.2   50.7   46.0   2.3 1.5
   2000  0.0320  0.6154   1.0259e-01    7.26    3.57    8.09    2.41   -0.42    2.58    2.22   -0.22    0.90   -0.01    1.25    1.50    1.00    0.91    193.0    181.4    1.8  1.054   9.7328e-02   64.9   39.8   42.2   2.3 1.5
   2000  0.0800  0.2461   3.6725e-02    6.64    2.47    7.08    2.03   -0.15    1.32    0.12    0.07    0.96   -0.12    0.21    1.55    1.00    0.79    231.0    218.5    2.1  1.048   3.5050e-02   83.1   53.0   55.9   2.3 1.5
   2000  0.1300  0.1515   1.6377e-02    9.90    3.36   10.46    3.00    0.84    1.43    0.02    0.35    0.65   -0.03    0.23    2.58    1.02    0.75    103.0    110.8    0.5  0.925   1.7708e-02   71.5   53.3   50.0   2.3 1.5
   2000  0.2500  0.0788   4.6970e-03   19.29    9.07   21.32    3.62    0.61    8.30    0.00   -0.16   -7.98   -0.00    0.97    3.00    1.46    0.79     27.0     29.3    0.1  0.919   5.1095e-03   31.9   60.1   44.1   2.3 1.5
   3000  0.0800  0.3692   2.4452e-02    6.87    2.93    7.47    2.42    1.24    1.58   -0.03    0.52    1.17   -0.00    0.23    1.50    1.00    1.00    215.0    201.4    1.5  1.060   2.3064e-02   81.8   45.5   49.5   2.3 1.5
   3000  0.1300  0.2272   1.5223e-02    8.03    2.60    8.44    2.10    0.47    1.44   -0.03    0.18    0.86   -0.00    0.17    1.57    1.00    0.85    156.0    125.9    0.5  1.235   1.2323e-02   78.8   53.2   53.4   2.3 1.5
