#-*-sh-*-
# 
# H1 HERA-II polarized data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "bla-33"  # A unique alpos name 
Description                    	"H1 CC e-p RH HERA II"
Reference                       "JHEP 09 (2012) 061 [arXiv:1206.7007]"
arXiv                           1206.7007
Title                           "Inclusive Deep Inelastic Scattering at High Q2 with Longitudinally Polarised Lepton Beams at HERA"
Inspire                         1120512


########################################################## 
#  Theory function settings 
#
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
#TheoryFunction                   QcdnumDISCS
sqrt-s                           318.       # sqrt-s only needed if y is not given in table
e-charge                         -1.
#e-polarity                       0.360315
e-polarity                       polEmRH
IsReducedCS                      false
IsNC                             false

PolErrUnc                        2.69
PolErrCorrLPol                   0.55
PolErrCorrTPol                   0.58


##########################################################          
#
#   Data table
#
##########################################################          

#   ColumnName = 'Q2','x', 'y','x-section','stat',2*'ignore', 'uncor',2*'ignore', 'V3','H3','N3','B2', 12*'ignore','LUMI_HERAII_beta_500', 'L11'
Data {{
     Q2     x       y        Sigma      stat    syst    tot    uncor   unHadE corr  corVap+ corHadE+  corN+ PythSub+ uncTr+  uncVer+ uncBGF+  QEDr    Ndata     N_MC   N_bgr d-b/s    sigma_MC     ACC    PUR     STA lumi norm
    300  0.0080  0.3692 1.18495       47.17   31.34   56.64   26.19   -1.72   17.22   15.32   -0.83   -0.87   -0.89   26.06    1.50    1.00    0.66     11.0      4.8    4.0  1.458   7.9864e-01   13.7   34.8   33.1  2.3 1.5
    300  0.0130  0.2272 0.430085      34.95   15.63   38.29   11.46   -1.91   10.62    9.66   -0.45    0.37   -2.45   11.11    1.71    1.00    0.67     18.0     13.7    5.9  0.885   4.7718e-01   29.4   44.7   44.8  2.3 1.5
    300  0.0320  0.0923 0.129602      24.94    7.43   26.03    5.02   -1.42    5.46    4.82   -0.42    0.76   -1.52    3.54    2.92    1.29    0.67     23.0     24.3    3.8  0.793   1.6057e-01   57.0   46.3   56.4  2.3 1.5
    300  0.0800  0.0369 0.0476434     25.20    6.71   26.08    4.87   -2.03    4.60    1.49   -0.51   -3.01   -2.31    2.46    3.00    2.00    0.73     19.0     18.1    1.7  0.954   4.9046e-02   58.6   44.5   55.5  2.3 1.5
    500  0.0130  0.3787 0.414611      20.53   11.11   23.35    7.08   -2.63    8.55    8.26   -0.78   -0.88   -1.15    6.28    1.50    1.00    0.71     28.0     26.0    2.2  0.991   4.1099e-01   36.7   40.6   41.1  2.3 1.5
    500  0.0320  0.1538 0.143538      16.32    5.18   17.12    3.67   -2.33    3.62    3.27   -0.54   -0.26   -0.62    1.55    2.03    1.00    0.71     42.0     41.7    2.3  0.951   1.4825e-01   61.0   48.9   52.1  2.3 1.5
    500  0.0800  0.0615 0.0370939     18.44    4.40   18.96    3.96   -1.86    1.87    0.72   -0.44   -0.07   -0.97    0.67    3.00    1.50    0.71     33.0     39.3    1.8  0.792   4.5980e-02   70.9   48.3   53.0  2.3 1.5
    500  0.1300  0.0379 0.013403      50.46   14.02   52.37    5.98   -2.10   12.67    0.32   -0.71  -12.29   -0.00    4.21    3.00    2.00    0.82      4.0      7.3    0.0  0.545   2.4142e-02   24.2   47.6   35.7  2.3 1.5
   1000  0.0130  0.7574 0.287758      19.89   10.34   22.42    6.24   -2.14    8.23    8.06   -0.69   -0.35   -0.00    5.53    1.50    1.00    0.74     28.0     27.2    1.4  0.979   2.8868e-01   34.6   34.9   37.3  2.3 1.5
   1000  0.0320  0.3077 0.116673      12.82    3.41   13.26    2.55   -1.43    2.20    1.81   -0.33    0.55   -0.24    0.81    1.50    1.00    0.75     63.0     64.6    1.1  0.958   1.1962e-01   66.8   45.1   51.0  2.3 1.5
   1000  0.0800  0.1231 0.0449345     12.03    3.23   12.46    2.75   -0.37    1.62    0.33   -0.21    1.12   -0.29    0.25    2.41    1.01    0.73     71.0     62.2    1.0  1.126   3.9205e-02   73.9   50.5   54.5  2.3 1.5
   1000  0.1300  0.0757 0.0129978     26.32    5.11   26.81    3.81   -1.39    3.36    0.05    0.13   -2.91   -0.25    0.75    3.00    1.57    0.77     15.0     23.8    0.3  0.618   2.0648e-02   45.7   50.8   45.1  2.3 1.5
   2000  0.0320  0.6154 0.0721528     12.69    3.43   13.15    2.60   -1.27    2.17    1.81   -0.43    0.07   -0.53    1.11    1.50    1.00    0.82     66.0     72.6    2.0  0.882   8.0373e-02   59.9   40.0   43.9  2.3 1.5
   2000  0.0800  0.2461 0.0235983     12.36    2.54   12.62    2.26   -1.00    1.06    0.11   -0.28    0.41   -0.00    0.22    1.55    1.00    0.80     67.0     83.4    0.8  0.793   2.9214e-02   72.4   51.8   55.0  2.3 1.5
   2000  0.1300  0.1515 0.0130793     16.30    3.32   16.64    3.03   -0.86    1.25    0.00   -0.34   -0.12   -0.00    0.15    2.61    1.01    0.77     38.0     46.1    0.2  0.821   1.5650e-02   62.5   52.2   49.5  2.3 1.5
   2000  0.2500  0.0788 0.00554484    28.94    8.91   30.27    3.60    0.28    8.13    0.00    0.26   -7.82   -0.00    1.02    3.00    1.45    0.86     12.0     12.9    0.0  0.925   5.8861e-03   23.7   55.6   43.8  2.3 1.5
   3000  0.0800  0.3692 0.0230638     10.14    2.42   10.42    2.04    0.17    1.20   -0.03    0.27    0.78   -0.05    0.23    1.50    1.00    0.92     99.0     97.3    0.9  1.008   2.2467e-02   69.8   46.4   49.5  2.3 1.5
   3000  0.1300  0.2272 0.00929892    14.35    2.52   14.56    2.11   -0.55    1.27   -0.01   -0.38    0.64   -0.00    0.10    1.57    1.00    0.83     49.0     65.5    0.2  0.745   1.2262e-02   71.5   52.9   54.4  2.3 1.5
   3000  0.2500  0.1181 0.00388194    19.65    3.68   19.99    2.92    0.80    2.17    0.00    0.06   -1.63   -0.00    0.19    2.48    1.01    0.83     26.0     31.4    0.1  0.826   4.6158e-03   46.2   58.1   50.8  2.3 1.5
   5000  0.0800  0.6154 0.0137216     13.63    2.88   13.93    2.35    0.89    1.50    0.10    0.35    0.93   -0.07    0.31    1.50    1.00    1.18     55.0     58.0    0.6  0.938   1.4371e-02   64.2   34.9   39.2  2.3 1.5
   5000  0.1300  0.3787 0.00853003    11.66    2.76   11.98    2.20    0.68    1.47   -0.03    0.28    1.04   -0.00    0.10    1.50    1.00    1.05     74.0     71.2    0.2  1.037   8.0795e-03   72.1   50.1   52.5  2.3 1.5
   5000  0.2500  0.1969 0.00284867    15.10    3.09   15.41    2.64    1.65    1.37    0.01    0.45    0.49   -0.00    0.10    1.55    1.00    0.92     44.0     48.1    0.1  0.913   3.0657e-03   64.0   56.5   53.8  2.3 1.5
   5000  0.4000  0.1231 0.000845429   40.86    9.87   42.03    6.35    5.79    7.50    0.00    1.28   -6.66   -0.00    0.10    2.17    1.00    1.00      6.0      7.4    0.0  0.814   1.0196e-03   22.3   61.9   41.0  2.3 1.5
   8000  0.1300  0.6059 0.00548631    14.34    3.87   14.85    3.27    2.28    1.80   -0.05    0.69    1.08   -0.00    0.10    1.50    1.00    1.49     49.0     44.3    0.2  1.103   4.8875e-03   62.7   40.9   42.0  2.3 1.5
   8000  0.2500  0.3151 0.00169884    15.45    3.61   15.87    2.93    1.94    1.84    0.00    0.70    1.17   -0.00    0.10    1.50    1.00    1.26     42.0     47.2    0.1  0.889   1.8780e-03   68.8   51.8   53.8  2.3 1.5
   8000  0.4000  0.1969 0.000516381   31.66    5.93   32.21    5.11    4.64    2.84    0.00    1.40   -0.86   -0.00    0.10    1.50    1.00    1.15     10.0     12.2    0.0  0.821   6.1813e-04   39.0   63.6   47.6  2.3 1.5
  15000  0.2500  0.5907 0.00101776    17.72    6.41   18.84    5.66    5.01    2.82   -0.02    1.31    1.99   -0.00    0.10    1.50    1.00    1.92     32.0     26.3    0.1  1.215   8.2261e-04   61.6   43.3   43.5  2.3 1.5
  15000  0.4000  0.3692 0.000269913   23.60    5.85   24.32    5.22    4.59    2.45    0.00    1.15    1.15   -0.00    0.10    1.50    1.00    1.70     18.0     18.2    0.0  0.990   2.6788e-04   68.3   51.3   54.9  2.3 1.5
}}

Subsets { Q2 }

Cuts { }

TheoryFactors { }

ErrorSet                   "H1"
ErrorUnit                  percent

Errors {{
 ErrorName       Column           Correlation      Nature
  Stat            stat              0               P
  uncor           uncor             0               M
  V3              corVap+           1               M
  H3             corHadE+            1               M
  N3             corN+              1               M
  B2             PythSub+           1               M # B2?                                                                                           
  Lumi_beta_500   2.3               1               M
  L11               1.5              1               M
}}


