#-*-sh-*-
# 
# H1 HERA-II polarized data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "bla-33"  # A unique alpos name 
Description                    	"NC e-p LH HERA II"
Reference                       "JHEP 09 (2012) 061 [arXiv:1206.7007]"  #
arXiv                           1206.7007
Title                           "Inclusive Deep Inelastic Scattering at High Q2 with Longitudinally Polarised Lepton Beams at HERA"
Inspire                         1120512


########################################################## 
#  Theory function settings 
#
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
#TheoryFunction                   QcdnumDISCS
sqrt-s                           318.       # sqrt-s only needed if y is not given in table
e-charge                         -1.
#e-polarity                       -0.258444
e-polarity                       polEmLH
IsReducedCS                      true
IsNC                             true

PolErrUnc                        2.64
PolErrCorrLpol                   0.59
PolErrCorrTpol                   0.53

##########################################################          
#
#   Data table
#
##########################################################          

#   ColumnName = 'Q2','x', 'y','x-section','stat',2*'ignore', 'uncor',3*'ignore', 'E3','T4','H3','N2','ignore', 'B2',3*'ignore',13*'ignore','LUMI_HERAII_beta_500', 'L10'

Data {{
  Q2         x       y   Sigma           stat     sys     tot     unc   uncE+ uncHaE+    corr   corE+  corTh+ corHaE+ corNoi+ corHTh+ corBkg+ uncEId+ unTrig+ corChA+ uncVtx+   QEDr+     Ndat      Nmc    Nbg  DWrCh  NPhot MCstat    dmc         theo    acc    pur   stab lumi L10
    120  0.002000  0.5907 1.33602         0.87    1.49    1.73    1.02   -0.54    0.09    1.09   -0.36   -0.61    0.02    0.18    0.00   -0.81    0.20    0.57   -0.00    0.20    0.31  14230.0  14176.9  437.2    0.0  381.0   0.44  0.973   1.3490e+00   64.0   74.7   80.1 2.3 1.5
    120  0.003200  0.3692 1.20358         1.24    1.43    1.89    1.21   -0.77    0.05    0.75   -0.35   -0.62    0.02    0.19    0.00   -0.16    0.20    0.57   -0.00    0.20    0.31   6671.0   6741.5   48.9    0.0   34.9   0.58  0.982   1.2036e+00   23.1   62.3   63.8 2.3 1.5
    150  0.003200  0.4615 1.21671         0.73    1.22    1.43    0.91   -0.43    0.06    0.81   -0.32   -0.59    0.02    0.19    0.00   -0.41    0.20    0.57   -0.00    0.20    0.31  19538.0  19832.0  334.8    0.0  272.7   0.33  0.968   1.2344e+00   78.8   74.9   78.9 2.3 1.5
    150  0.005000  0.2954 1.08977         0.88    1.50    1.74    1.20   -0.86    0.00    0.90   -0.55   -0.71   -0.00    0.04   -0.00   -0.04    0.20    0.57   -0.00    0.20    0.32  13189.0  13296.2   39.5    0.0   18.0   0.39  0.989   1.0824e+00   61.0   65.6   67.9 2.3 1.5
    200  0.003200  0.6154 1.2445          1.35    1.20    1.81    0.94    0.18    0.07    0.75    0.18   -0.50    0.01    0.15    0.00   -0.51    0.20    0.57   -0.00    0.20    0.31   5715.0   5753.1  117.0    0.0   97.0   0.55  0.973   1.2564e+00   80.8   70.5   74.9 2.3 1.5
    200  0.005000  0.3938 1.09812         0.96    1.24    1.57    0.99   -0.54    0.02    0.75   -0.44   -0.58    0.01    0.14   -0.00   -0.08    0.20    0.57   -0.00    0.20    0.31  11070.0  11416.7   55.5    0.0   31.9   0.37  0.965   1.1180e+00   83.7   66.9   68.3 2.3 1.5
    200  0.008000  0.2461 0.955831        0.99    1.66    1.93    1.39   -1.10    0.00    0.91   -0.60   -0.69    0.00    0.00    0.00   -0.00    0.20    0.57   -0.00    0.20    0.32  10740.0  10957.5   15.9    0.0    1.1   0.41  0.979   9.5937e-01   86.0   59.3   61.4 2.3 1.5
    250  0.005000  0.4923 1.11532         1.12    1.08    1.56    0.89   -0.30    0.06    0.60   -0.29   -0.42    0.02    0.18    0.00   -0.27    0.20    0.57   -0.00    0.20    0.31   8253.0   8477.5   97.6    0.0   75.2   0.41  0.962   1.1389e+00   79.8   76.2   79.2 2.3 1.5
    250  0.008000  0.3077 0.968332        1.10    1.26    1.67    1.01   -0.55    0.00    0.76   -0.50   -0.57    0.00    0.04   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.32   8503.0   8763.6   15.3    0.0    1.1   0.40  0.969   9.8213e-01   88.3   65.7   67.2 2.3 1.5
    300  0.005000  0.5907 1.12957         1.89    1.18    2.23    1.00   -0.17    0.08    0.63   -0.17   -0.46    0.03    0.15    0.00   -0.38    0.20    0.57   -0.00    0.20    0.31   2889.0   2942.6   45.6    0.0   37.0   0.65  0.966   1.1483e+00   72.2   72.7   74.6 2.3 1.5
    300  0.008000  0.3692 0.979896        1.28    1.13    1.71    0.92   -0.35    0.02    0.65   -0.35   -0.53    0.01    0.10    0.00   -0.08    0.20    0.57   -0.00    0.20    0.32   6240.0   6445.9   29.2    0.0   16.9   0.42  0.964   9.9900e-01   83.0   72.4   74.3 2.3 1.5
    300  0.013000  0.2272 0.817311        1.28    1.50    1.97    1.18   -0.80    0.00    0.93   -0.79   -0.50    0.00    0.00    0.00   -0.00    0.20    0.57   -0.00    0.20    0.33   6162.0   6456.9    9.3    0.0    0.6   0.45  0.953   8.4256e-01   89.9   65.7   67.7 2.3 1.5
    400  0.008000  0.4923 1.04376         1.54    1.13    1.91    0.96   -0.38    0.04    0.59   -0.33   -0.41    0.01    0.16   -0.00   -0.22    0.20    0.57   -0.00    0.20    0.31   4281.0   4218.2   40.5    0.0   30.4   0.49  1.005   1.0199e+00   69.8   76.5   77.5 2.3 1.5
    400  0.013000  0.3029 0.85907         1.50    1.21    1.93    0.97   -0.42    0.00    0.72   -0.41   -0.59    0.00    0.03   -0.00   -0.02    0.20    0.57   -0.00    0.20    0.32   4541.0   4638.4   10.6    0.0    3.3   0.47  0.977   8.6399e-01   82.0   71.8   72.5 2.3 1.5
    400  0.020000  0.1969 0.72337         1.54    1.64    2.25    1.28   -0.91    0.00    1.03   -0.90   -0.50    0.00    0.00    0.00   -0.00    0.20    0.57   -0.00    0.20    0.34   4235.0   4388.1    4.4    0.0    0.0   0.50  0.964   7.3703e-01   86.7   64.2   65.4 2.3 1.5
    500  0.008000  0.6154 1.00568         2.57    1.17    2.83    1.05   -0.16    0.07    0.52   -0.24   -0.39    0.02    0.16   -0.00   -0.20    0.20    0.57   -0.00    0.20    0.31   1544.0   1591.0   14.9    0.0   10.6   0.73  0.961   1.0279e+00   70.0   68.8   72.1 2.3 1.5
    500  0.013000  0.3787 0.906366        1.85    1.11    2.15    0.96   -0.31    0.03    0.56   -0.25   -0.49    0.00    0.08   -0.00   -0.06    0.20    0.57   -0.00    0.20    0.32   3128.0   3077.5   11.7    0.0    5.9   0.52  1.013   8.7927e-01   70.7   70.9   70.6 2.3 1.5
    500  0.020000  0.2461 0.740127        1.83    1.40    2.31    1.15   -0.69   -0.00    0.80   -0.69   -0.40   -0.00   -0.00   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.33   3073.0   3164.4    5.2    0.0    0.0   0.54  0.969   7.4994e-01   78.2   69.0   69.6 2.3 1.5
    650  0.013000  0.4923 0.899128        2.08    1.17    2.38    1.06   -0.48    0.05    0.49   -0.32   -0.31    0.01    0.14   -0.00   -0.13    0.20    0.57   -0.00    0.20    0.31   2349.0   2362.1   16.3    0.0   10.2   0.60  0.988   8.9435e-01   69.6   75.9   76.9 2.3 1.5
    650  0.020000  0.3200 0.771878        2.14    1.27    2.48    1.06   -0.41    0.00    0.70   -0.47   -0.52    0.00    0.03    0.00   -0.00    0.20    0.57   -0.00    0.20    0.33   2204.0   2217.6    6.4    0.0    0.4   0.62  0.991   7.6513e-01   70.9   66.7   65.9 2.3 1.5
    650  0.032000  0.2000 0.64475         2.23    1.77    2.84    1.43   -1.01    0.00    1.04   -0.94   -0.45    0.00    0.00    0.00   -0.00    0.20    0.57   -0.00    0.20    0.35   2023.0   2034.6    4.1    0.0    0.0   0.67  0.992   6.3828e-01   73.5   62.8   62.9 2.3 1.5
    800  0.013000  0.6059 0.918806        3.50    1.28    3.72    1.21    0.16    0.08    0.41    0.11   -0.33    0.03    0.19    0.00   -0.10    0.20    0.57   -0.00    0.20    0.32    910.0    903.3    6.3    0.0    3.2   0.94  1.000   9.0212e-01   67.8   74.3   75.2 2.3 1.5
    800  0.020000  0.3938 0.733591        2.51    1.20    2.78    1.11   -0.46    0.01    0.45   -0.25   -0.36    0.00    0.08   -0.00   -0.06    0.20    0.57   -0.00    0.20    0.32   1607.0   1723.5    8.7    0.0    3.3   0.69  0.927   7.7706e-01   72.7   71.4   72.1 2.3 1.5
    800  0.032000  0.2461 0.630651        2.67    1.61    3.12    1.40   -0.90    0.00    0.80   -0.59   -0.53    0.00    0.00    0.00   -0.00    0.20    0.57   -0.00    0.20    0.36   1491.0   1555.1    3.7    0.0    0.0   0.76  0.956   6.4775e-01   71.5   62.4   61.4 2.3 1.5
   1000  0.013000  0.7574 0.858143        3.45    2.15    4.06    1.68    0.27    0.22    1.34   -0.03   -0.20    0.05    0.19    0.00   -1.31    0.59    0.57   -0.00    0.21    0.94    941.0    953.6   51.2    0.0   41.6   1.04  0.933   9.0345e-01   51.0   76.0   88.6 2.3 1.5
   1000  0.020000  0.4923 0.782425        2.87    1.16    3.10    1.07   -0.32    0.06    0.45   -0.18   -0.37    0.01    0.11    0.00   -0.12    0.20    0.57   -0.00    0.20    0.34   1232.0   1255.4   10.2    0.0    4.9   0.69  0.973   7.8975e-01   68.1   76.7   77.6 2.3 1.5
   1000  0.032000  0.3077 0.669742        2.82    1.27    3.10    1.17   -0.57    0.00    0.50   -0.26   -0.43   -0.00    0.01   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.34   1263.0   1261.8    3.8    0.0    0.0   0.69  0.998   6.5925e-01   74.5   71.7   72.2 2.3 1.5
   1000  0.050000  0.1969 0.512003        3.15    1.87    3.67    1.59   -1.17    0.00    0.99   -0.71   -0.68    0.00    0.00    0.00   -0.00    0.20    0.57   -0.00    0.20    0.39   1010.0   1104.9    2.4    0.0    0.2   0.74  0.912   5.5153e-01   73.0   62.2   61.5 2.3 1.5
   1200  0.013000  0.9088 0.93316         5.43    2.66    6.04    2.21    0.21    0.27    1.48    0.35    0.22    0.05    0.22   -0.00   -1.41    0.97    0.57   -0.00    0.30    1.01    383.0    352.6   22.3    0.0   16.5   1.53  1.023   8.9603e-01   27.2   72.4   75.5 2.3 1.5
   1200  0.020000  0.5907 0.780063        3.60    1.31    3.83    1.22   -0.29    0.09    0.46   -0.19   -0.26    0.02    0.12   -0.00   -0.31    0.38    0.57   -0.00    0.20    0.61    798.0    819.0   12.7    0.0    8.4   0.69  0.959   7.9918e-01   59.3   76.2   76.1 2.3 1.5
   1200  0.032000  0.3692 0.688626        3.27    1.11    3.45    0.98   -0.27    0.03    0.52   -0.21   -0.47    0.00    0.06    0.00   -0.01    0.20    0.57   -0.00    0.20    0.33    945.0    931.9    3.9    0.0    0.4   0.57  1.010   6.6982e-01   70.8   75.9   76.3 2.3 1.5
   1200  0.050000  0.2363 0.540548        3.48    1.41    3.76    1.27   -0.82   -0.00    0.62   -0.45   -0.42   -0.00   -0.00   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.36    828.0    869.9    2.2    0.0    0.0   0.60  0.949   5.5931e-01   73.7   71.0   71.4 2.3 1.5
   1500  0.020000  0.7384 0.821445        4.26    2.13    4.76    1.78    0.09    0.16    1.18    0.18   -0.24    0.04    0.15   -0.00   -1.13    0.89    0.57   -0.00    0.28    0.95    606.0    579.1   27.5    0.0   21.8   0.99  0.999   8.0778e-01   46.1   78.8   79.6 2.3 1.5
   1500  0.032000  0.4615 0.684493        4.06    1.22    4.24    1.12   -0.40    0.06    0.48   -0.38   -0.25    0.01    0.13   -0.00   -0.06    0.27    0.57   -0.00    0.20    0.35    616.0    622.9    4.2    0.0    1.2   0.70  0.982   6.8462e-01   62.0   76.3   76.1 2.3 1.5
   1500  0.050000  0.2954 0.556877        4.02    1.36    4.25    1.25   -0.74    0.00    0.54   -0.34   -0.42    0.00    0.01    0.00   -0.00    0.20    0.57   -0.00    0.20    0.35    622.0    647.1    2.1    0.0    0.0   0.67  0.958   5.7099e-01   71.3   73.4   73.6 2.3 1.5
   2000  0.021880  0.9000 0.912871        6.58    3.07    7.26    2.49    0.20    0.18    1.79    0.18   -0.20    0.03    0.19    0.00   -1.76    1.00    0.57   -0.00    0.53    1.01    262.0    217.9   16.1    0.0   12.8   1.86  1.129   7.9437e-01   29.9   73.2   75.2 2.3 1.5
   2000  0.032000  0.6154 0.643712        4.89    1.57    5.13    1.50   -0.20    0.10    0.49   -0.16   -0.41    0.03    0.15   -0.00   -0.15    0.82    0.57   -0.00    0.21    0.68    431.0    475.2    6.2    0.0    2.4   0.80  0.894   7.0728e-01   60.7   77.5   77.0 2.3 1.5
   2000  0.050000  0.3938 0.557386        4.87    1.26    5.03    1.19   -0.43    0.02    0.42   -0.25   -0.33    0.01    0.04   -0.00   -0.02    0.27    0.57   -0.00    0.20    0.34    425.0    456.7    2.0    0.0    0.4   0.80  0.926   5.9128e-01   64.1   75.1   74.9 2.3 1.5
   2000  0.080000  0.2461 0.444143        5.02    1.63    5.28    1.43   -0.84   -0.00    0.79   -0.64   -0.46   -0.00   -0.00   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.48    399.0    440.8    1.1    0.0    0.0   0.81  0.903   4.8340e-01   70.7   70.9   70.9 2.3 1.5
   3000  0.032000  0.9230 0.780959        4.41    1.94    4.82    1.83   -0.25    0.11    0.67   -0.14   -0.30    0.02    0.11   -0.00   -0.57    1.00    0.57   -0.00    0.53    0.96    546.0    509.7   16.6    0.0    9.7   0.83  1.039   7.3862e-01   46.8   83.3   85.0 2.3 1.5
