#-*-sh-*-
# 
# H1 HERA-II polarized data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "bla-33"  # A unique alpos name 
Description                    	"NC e-p RH HERA II"
Reference                       "JHEP 09 (2012) 061, arXiv:1206.7007"  #


########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                   QcdnumDISCS


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           318.       # sqrt-s only needed if y is not given in table
e-charge                         -1.
#e-polarity                       0.360315
e-polarity                       polEmRH
IsReducedCS                      true
IsNC                             true

PolErrUnc                        2.68
PolErrCurrLPol                   0.55   
PolErrCorrTPol                   0.58

##########################################################          
#
#   Data table
#
##########################################################          

#   ColumnName = 'Q2','x', 'y','x-section','stat',2*'ignore', 'uncor',3*'ignore', 'E3','T4','H3','N2','ignore', 'B2',3*'ignore', 13*'ignore','LUMI_HERAII_beta_500', 'L11'
Data {{
    Q2         x       y   Sigma         stat     sys     tot     unc   uncE+ uncHaE+    corr  corE+  corTh+ corHaE+ corNoi+ corHTh+ corBkg+ uncEId+ unTrig+ corChA+ uncVtx+   QEDr+     Ndat      Nmc    Nbg  DWrCh  NPhot MCstat    dmc         theo    acc    pur   stab  lumi L11
    120  0.002000  0.5907 1.33928        1.29    1.42    1.92    0.95   -0.38    0.09    1.05   -0.24   -0.67    0.02    0.18    0.00   -0.75    0.20    0.57   -0.00    0.20    0.31   6512.0   6444.3  190.8    0.0  161.8   0.47  0.981   1.3412e+00   65.3   74.0   79.8  2.3 1.5
    120  0.003200  0.3692 1.21173        1.78    1.49    2.32    1.24   -0.76    0.05    0.83   -0.40   -0.68    0.02    0.22   -0.00   -0.16    0.20    0.57   -0.00    0.20    0.31   3210.0   3202.2   24.9    0.0   17.1   0.64  0.995   1.1967e+00   24.4   62.2   64.1  2.3 1.5
    150  0.003200  0.4615 1.20664        1.09    1.20    1.62    0.89   -0.37    0.07    0.80   -0.30   -0.58    0.02    0.20   -0.00   -0.41    0.20    0.57   -0.00    0.20    0.31   8812.0   8950.4  155.7    0.0  123.2   0.35  0.967   1.2255e+00   79.1   75.0   78.6  2.3 1.5
    150  0.005000  0.2954 1.1026         1.29    1.63    2.08    1.30   -0.99    0.01    0.98   -0.56   -0.81    0.00    0.05    0.00   -0.03    0.20    0.57   -0.00    0.20    0.32   6245.0   6179.4   17.4    0.0    6.8   0.41  1.008   1.0747e+00   62.4   66.0   68.3  2.3 1.5
    200  0.003200  0.6154 1.18729        2.06    1.20    2.38    0.95   -0.14    0.07    0.72   -0.14   -0.52    0.02    0.16    0.00   -0.46    0.20    0.57   -0.00    0.20    0.31   2447.0   2558.8   48.9    0.0   38.9   0.59  0.937   1.2445e+00   80.6   70.9   74.7  2.3 1.5
    200  0.005000  0.3938 1.09069        1.46    1.23    1.91    0.96   -0.48    0.02    0.77   -0.39   -0.65    0.00    0.12    0.00   -0.09    0.20    0.57   -0.00    0.20    0.31   4975.0   5114.4   27.2    0.0   15.7   0.40  0.967   1.1075e+00   84.4   66.3   68.2  2.3 1.5
    200  0.008000  0.2461 0.947565       1.44    1.65    2.19    1.34   -1.03   -0.00    0.97   -0.65   -0.72   -0.00   -0.00   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.33   4846.0   4940.1    7.7    0.0    0.5   0.43  0.979   9.5039e-01   86.4   59.6   61.5  2.3 1.5
    250  0.005000  0.4923 1.09852        1.69    1.12    2.03    0.94   -0.39    0.07    0.62   -0.39   -0.34    0.01    0.17   -0.00   -0.28    0.20    0.57   -0.00    0.20    0.31   3695.0   3803.9   47.9    0.0   36.0   0.43  0.959   1.1255e+00   80.0   76.6   79.3  2.3 1.5
    250  0.008000  0.3077 0.92636        1.64    1.39    2.15    1.09   -0.68    0.00    0.86   -0.66   -0.55   -0.00    0.02   -0.00   -0.03    0.20    0.57   -0.00    0.20    0.32   3718.0   3955.1   10.3    0.0    3.6   0.43  0.937   9.7070e-01   88.6   65.9   67.6  2.3 1.5
    300  0.005000  0.5907 1.16083        2.77    1.24    3.03    1.03   -0.24    0.07    0.70   -0.27   -0.54    0.02    0.18    0.00   -0.30    0.20    0.57   -0.00    0.20    0.31   1343.0   1315.7   17.9    0.0   13.3   0.67  1.007   1.1322e+00   71.8   72.4   74.8  2.3 1.5
    300  0.008000  0.3692 0.973666       1.89    1.08    2.18    0.88   -0.20    0.02    0.63   -0.20   -0.58    0.01    0.11    0.00   -0.05    0.20    0.57   -0.00    0.20    0.32   2809.0   2881.6   11.3    0.0    4.5   0.44  0.971   9.8514e-01   83.2   72.8   74.4  2.3 1.5
    300  0.013000  0.2272 0.807691       1.92    1.37    2.35    1.05   -0.57   -0.00    0.87   -0.56   -0.67   -0.00    0.00   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.33   2726.0   2850.6    4.5    0.0    0.2   0.48  0.955   8.3104e-01   90.0   65.6   67.7  2.3 1.5
    400  0.008000  0.4923 0.995512       2.41    1.15    2.67    0.97   -0.36    0.05    0.61   -0.33   -0.46    0.01    0.15    0.00   -0.18    0.20    0.57   -0.00    0.20    0.31   1835.0   1862.8   15.7    0.0   10.9   0.52  0.977   1.0013e+00   69.9   75.9   77.2  2.3 1.5
    400  0.013000  0.3029 0.829436       2.24    1.26    2.57    1.04   -0.55    0.00    0.70   -0.55   -0.44    0.00    0.02    0.00   -0.01    0.20    0.57   -0.00    0.20    0.32   2003.0   2081.1    4.4    0.0    0.7   0.49  0.960   8.4841e-01   82.6   72.1   73.2  2.3 1.5
    400  0.020000  0.1969 0.672542       2.36    1.67    2.89    1.31   -0.93    0.00    1.04   -0.93   -0.47    0.00    0.00    0.00   -0.00    0.20    0.57   -0.00    0.20    0.34   1798.0   1968.0    2.1    0.0    0.0   0.53  0.913   7.2397e-01   87.6   64.6   66.2  2.3 1.5
    500  0.008000  0.6154 0.955647       3.93    1.20    4.11    1.11   -0.22    0.08    0.48   -0.20   -0.37    0.02    0.15    0.00   -0.17    0.20    0.57   -0.00    0.20    0.31    659.0    698.9    5.9    0.0    3.9   0.79  0.934   1.0046e+00   69.3   69.2   71.6  2.3 1.5
    500  0.013000  0.3787 0.820192       2.80    1.14    3.02    1.00   -0.37    0.02    0.55   -0.30   -0.45   -0.00    0.09   -0.00   -0.06    0.20    0.57   -0.00    0.20    0.32   1289.0   1369.5    5.5    0.0    2.7   0.56  0.937   8.5967e-01   70.8   70.5   70.3  2.3 1.5
    500  0.020000  0.2461 0.685267       2.80    1.51    3.18    1.19   -0.73    0.00    0.92   -0.73   -0.57    0.00    0.00    0.00   -0.01    0.20    0.57   -0.00    0.20    0.33   1277.0   1388.7    2.6    0.0    0.5   0.58  0.918   7.3351e-01   78.4   68.9   69.5  2.3 1.5
    650  0.013000  0.4923 0.871795       3.13    1.07    3.31    1.00   -0.25    0.06    0.38   -0.11   -0.31    0.02    0.14    0.00   -0.12    0.20    0.57   -0.00    0.20    0.31   1032.0   1039.7    7.2    0.0    4.0   0.62  0.986   8.6888e-01   69.9   75.8   76.6  2.3 1.5
    650  0.020000  0.3200 0.730507       3.26    1.41    3.55    1.20   -0.65    0.01    0.74   -0.54   -0.52    0.00    0.02    0.00   -0.01    0.20    0.57   -0.00    0.20    0.33    945.0    976.2    3.1    0.0    0.3   0.68  0.965   7.4372e-01   71.1   66.4   65.8  2.3 1.5
    650  0.032000  0.2000 0.635782       3.33    1.74    3.76    1.37   -0.89   -0.00    1.07   -0.87   -0.62   -0.00   -0.00   -0.00   -0.00    0.20    0.57   -0.00    0.20    0.35    904.0    896.8    1.9    0.0    0.0   0.72  1.006   6.2085e-01   72.3   63.2   62.2  2.3 1.5
    800  0.013000  0.6059 0.83023        5.20    1.52    5.41    1.42   -0.68    0.08    0.56   -0.34   -0.38    0.01    0.16    0.00   -0.16    0.20    0.57   -0.00    0.20    0.32    377.0    399.1    3.3    0.0    2.1   1.00  0.936   8.7104e-01   67.4   74.9   75.1  2.3 1.5
    800  0.020000  0.3938 0.709526       3.76    1.24    3.96    1.16   -0.52    0.03    0.44   -0.33   -0.27    0.00    0.08    0.00   -0.02    0.20    0.57   -0.00    0.20    0.32    715.0    766.3    3.6    0.0    0.5   0.72  0.928   7.5076e-01   73.0   71.3   72.0  2.3 1.5
    800  0.032000  0.2461 0.608489       3.87    1.57    4.18    1.38   -0.84    0.00    0.74   -0.67   -0.32    0.00    0.00    0.00   -0.00    0.20    0.57   -0.00    0.20    0.35    670.0    700.3    1.7    0.0    0.0   0.80  0.954   6.2636e-01   72.5   62.6   61.6  2.3 1.5
   1000  0.013000  0.7574 0.834577       5.19    2.02    5.57    1.71    0.28    0.22    1.08    0.05   -0.20    0.06    0.18   -0.00   -1.05    0.59    0.57   -0.00    0.21    0.93    408.0    411.1   18.6    0.0   14.4   1.08  0.947   8.6544e-01   50.6   76.2   88.6  2.3 1.5
   1000  0.020000  0.4923 0.709037       4.48    1.18    4.63    1.10   -0.37    0.05    0.43   -0.20   -0.35    0.02    0.10   -0.00   -0.08    0.20    0.57   -0.00    0.20    0.34    507.0    546.8    4.0    0.0    1.4   0.72  0.920   7.5712e-01   68.3   76.6   77.5  2.3 1.5
