#! -*-sh-*-
#
# The data are taken from: paper after reading
# double-differential 'absolute' inclusive jet cross sections in bins of Q2 and pt  (Q2_min,Q2_max,Pt_min,Pt_max)
#
# phase space is given in the H1 preliminary reports: H1prelim-12-031 and  H1prelim-11-032 
# normalized cross section are given without units.
# all errors given in %
#
# File adapted from HERAFitter
#

##########################################################
#  General parameters of this dataset
##########################################################
AlposName           "bla-33"  # A unique alpos name
Description         "H1 'absolute' multijet cross sections with unfolding, HERA-II"
Reference           "EPJ C75 (2015) 2, 65 [arXiv:1406.4709]"
arXiv                           1406.4709
Inspire                         1301218

##########################################################
#  fastNLO parameters, specific to this dataset
#  not specified parameters are taken from default as
#  specified in the global steering file
##########################################################
#
#TheoryFunction: 'fastNLO'
Filenames {
    theoryfiles/fnh5001_I1301218.tab
    theoryfiles/fnh5002_I1301218.tab
    theoryfiles/fnh5003kt_I1301218.tab
}
Units               0      # 0: absoluteUnits, 1: PublicationUnits
MuRFuncForm         3      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean
MuFFuncForm         0      # 0: scale1, 1: scale2, 2: quad.sum, 3: quad.mean


##########################################################
#  Data table 
#  
#  Necessary keys are:
#   + ErrorSet           (Specifies the 'set' of error, which may correlated to other data sets)
#   + Data       (the data table, bin boundaries, and errors)
#   + Errors         (specify the used errors, and its nature)
#   + ... irgendwas fuer 'interne' correlation  ...
#   + ... irgendwas fuer  externe  korrlationen ...
#   + TheoryFactors     (multiplicative factors to be applied on theory) 
#   + TheoryErrors   (additional errors on the theory [as sepcified in 'Data'])
# 
##########################################################

Data {{
  IJet   Q2_min   Q2_max   Pt_min   Pt_max    Sigma stat.(%)  sys.(%)  tot.(%)      had  had.err       EW  JES(up)  JES(dn) EHFS(up) EHFS(dn) LArN(up) LArN(dn) Trig(up) Trig(dn) Lumi(up) Lumi(dn) TrCl(up) TrCl(dn) Mod1(up) Mod1(dn)   Ee1(up)  Ee1(dn) ThE1(up) ThE1(dn) IDe1(up) IDe1(dn) Mod2(up) Mod2(dn)   Ee2(up)  Ee2(dn) ThE2(up) ThE2(dn) IDe2(up) IDe2(dn) Mod3(up) Mod3(dn)   Ee3(up)  Ee3(dn) ThE3(up) ThE3(dn) IDe3(up) IDe3(dn) Mod4(up) Mod4(dn)   Ee4(up)  Ee4(dn) ThE4(up) ThE4(dn) IDe4(up) IDe4(dn) Mod5(up) Mod5(dn)   Ee5(up)  Ee5(dn) ThE5(up) ThE5(dn) IDe5(up) IDe5(dn) Mod6(up) Mod6(dn)   Ee6(up)  Ee6(dn) ThE6(up) ThE6(dn) IDe6(up) IDe6(dn) Bkgd(up) Bkgd(dn)  UnCorrSys
     1      150      200        7       11  70.5817      2.7      2.9      4.0     0.93      2.2     1.00     0.94    -1.13     0.94    -1.03     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     1.05    -1.05     -0.45     0.28    -0.38     0.33     0.49    -0.49     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     1      150      200       11       18  30.9722      4.1      4.4      6.0     0.97      1.7     1.00     2.37    -2.54     0.56    -0.53     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     2.82    -2.82     -0.68     0.46    -0.28     0.22     0.49    -0.49     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     1      150      200       18       30   8.0735      6.4      5.3      8.3     0.96      1.1     1.00     3.36    -3.38     0.31    -0.11     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     3.47    -3.47     -0.40     0.47    -0.14     0.10     0.49    -0.49     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     1      150      200       30       50   0.9184     15.3     12.9     20.0     0.95      0.7     1.00     4.87    -5.28     0.16    -0.12     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00    11.68   -11.68     -0.12    -0.55    -0.25    -0.06     0.49    -0.49     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     1      200      270        7       11  54.7909      3.0      2.9      4.1     0.93      2.1     1.00     0.93    -1.03     1.22    -1.01     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00    -0.62     0.62     -0.60     0.87    -0.35     0.42     0.48    -0.48     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     1      200      270       11       18  26.7588      4.1      4.8      6.3     0.97      1.7     1.00     2.40    -2.40     0.39    -0.41     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     3.38    -3.38     -0.63     0.64    -0.30     0.28     0.48    -0.48     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     1      200      270       18       30   7.0050      6.6      6.4      9.2     0.97      1.3     1.00     3.68    -3.41     0.23    -0.18     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     4.81    -4.81     -0.60     0.53    -0.37     0.30     0.49    -0.49     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     1      200      270       30       50   0.8518     15.2      7.4     16.9     0.96      1.2     1.00     5.70    -4.85    -0.16    -0.05     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     4.64    -4.64      0.02     0.11    -0.31     0.29     0.49    -0.49     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     1      270      400        7       11  52.1671      3.0      3.2      4.4     0.93      1.5     1.00     0.91    -1.01     1.01    -1.02     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     1.53    -1.53     -1.00     0.72    -0.30     0.27     0.46    -0.46     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
     1      270      400       11       18  27.7701      4.0      4.5      6.0     0.97      1.1     1.00     2.35    -2.24     0.42    -0.44     0.50    -0.50     1.20    -1.20     2.50    -2.50     1.00    -1.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     3.09    -3.09     -0.73     0.85    -0.21     0.27     0.45    -0.45     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00      0.00     0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00
