#-*-sh-*-
# 
# H1 HERA-II polarized data
# 

##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "bla-33"  # A unique alpos name 
Description                    	"H1 CC High Q2 e+p 94-97"
Reference                       "EPJ C13 (2000) 609 [hep-ex/9908059]" #Used in: JHEP 09 (2012) 061 [arXiv:1206.7007]" 
arXiv                           hep-ex/9908059
Inspire                         506029



########################################################## 
#  Theory function settings 
#
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
# --- TheoryFunction             QcdnumDISCS
sqrt-s                           301.       # sqrt-s only needed if y is not given in table
e-charge                         +1.
e-polarity                       0.
IsReducedCS                      false
IsNC                             false


##########################################################          
#
#   Data table
#
##########################################################          

#   ColumnType = 3*'Bin','Sigma',12*'Error'
#   ColumnName = 'Q2','x','y','reduced x-section',2*'ignore', 'stat','uncor',2*'ignore','V1','H2','N1','B2','xlum_3','corlum'
#Q2        x    y    sigma_CC    tot     stat     unc     u^h+    cor     c^V+    c^h+    c^N+    c^B+ 1.41421 0.5
# GeV^2                            %       %       %       %       %       %       %       %       % 1.41421 0.5
Data {{
"Q2"        "x"     "y"      "Sigma"  ???      tot      "stat"    "uncor"  "ignore" "ignore"   "V1"      "H2"      "N1"     "B2"      "xlum_3" "corlum"
300.000000 0.013000 0.255000 0.637000 1.075000 31.800000 27.400000 9.900000 2.900000 12.600000  11.900000 -1.600000 0.200000 -3.800000 1.414214 0.500000
300.000000 0.032000 0.104000 0.124000 0.514000 30.000000 28.100000 7.900000 2.800000 6.600000  6.200000 -1.600000 0.900000 -0.700000 1.414214 0.500000
300.000000 0.080000 0.041000 0.053200 0.553000 25.500000 23.800000 7.000000 2.200000 2.800000  2.200000 -1.500000 -0.600000 -0.300000 1.414214 0.500000
500.000000 0.013000 0.425000 0.468000 0.838000 29.700000 25.100000 9.200000 1.900000 12.800000  12.100000 -1.500000 1.000000 -3.900000 1.414214 0.500000
500.000000 0.032000 0.173000 0.177000 0.781000 19.200000 17.000000 6.700000 2.300000 5.500000  5.200000 -1.200000 0.400000 -0.300000 1.414214 0.500000
500.000000 0.080000 0.069000 0.054600 0.601000 18.900000 17.000000 6.100000 1.100000 2.300000  2.300000 -0.500000 0.200000 -0.200000 1.414214 0.500000
