#-*-sh-*-
# 
# LHeC simulated pseudo-data
# Authors: W. Slominski
# 

# from Wojtek's notes:
# --------------------
# 2018-05-18 17:21:36
# M:\PHYSICS\LHeC\ws\util\merge_data.tcl { } -esys 5
# rundir = M:/PHYSICS/LHeC/ws/simdata/7T60/ZEUS-SJ/4-4-4/014/TRS/sim
#
# Records = 1631
# QQ[20] = 1.8 3.2 5.6 10 18 32 56 100 180 320 560 1000 1800 3200 5600 10000 18000 32000 56000 100000
# Counts(QQ) = 186 174 162 150 138 126 114 102 91 80 69 58 48 39 31 24 18 13 5 3
# beta[21] = 5.7e-006 1e-005 1.8e-005 3.2e-005 5.7e-005 0.0001 0.00018 0.00032 0.00057 0.001 0.0018 0.0032 0.0057 0.01 0.018 0.032 0.057 0.1 0.2 0.5 0.8
# Counts(beta) = 1 3 6 10 15 21 28 36 45 55 66 78 90 102 114 126 138 150 174 185 188
# xi[22] = 1.8e-006 3.2e-006 5.6e-006 1e-005 1.8e-005 3.2e-005 5.6e-005 0.0001 0.00018 0.00032 0.00056 0.001 0.0018 0.0032 0.0056 0.01 0.018 0.032 0.056 0.1 0.18 0.32
# Counts(xi) = 1 3 6 9 13 18 24 31 39 48 58 69 80 91 102 114 126 138 149 160 171 181
#--> Parameters
#$Version 6.0
#$Name sim-p7e60
#$Value_Name xisr
#$Vars_Names xi,Q2,beta
#$Error_Name estat
#$TotSys_Name sysTot
#$NormError 0.03
#$AsymmErrors 0
#$RelativeErrors 0.01
#$Nuncorr 1
#$Ncorr 0
#$ECM 1296.15
#$Columns xi,QQ,beta,srTot,estat,sysTot
#--- end-of-params


##########################################################
#  General parameters of this dataset 
##########################################################
AlposName                       "LHeC-DDIS-a"  # A unique alpos name 
Description                    	"LHeC DDIS 60x7000"
Reference                       "" 
#arXiv                           1010.1476
#Inspire                         872187
#Title                           ""



########################################################## 
#  Theory function settings 
##########################################################  
TheoryFunction                   ApfelDDISCS #QcdnumDDISCS


########################################################## 
#  theory parameters, specific to this dataset 
#  not specified parameters are taken from default as
#  specified in the global steering file                                      
##########################################################          
sqrt-s                           1296.1481      # sqrt-s only needed if y is not given in table
e-charge                         -1.
e-polarity                       0. # polarisation?
IsReducedCS                      true
IsNC                             true


##########################################################          
#
#   Data table
#
##########################################################          

#         Diffractive Reduced Cross Section

#    Q2    beta      xp       mx  mxBin   Sigma  Excl  stat statMC stat1p22  sys    tot  HadEn ElecEn  ElecTh DifBeta DifXpom DifT EpFPS  PxFPS  PyFPS  DifQ2  VtxEff  Backgr Bcccor

Data {{
  xp         Q2      beta     Sigma       estat      sysTot
#$xi 1.8e-006;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
1.8e-006    1.8  0.8  0.188565  0.047436  5     


#$xi 3.2e-006;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
3.2e-006    1.8  0.5  0.0883059  0.0594264  5     
3.2e-006    1.8  0.8  0.186281   0.0438022  5     
3.2e-006    3.2  0.8  0.197104   0.0676462  5     


#$xi 5.6e-006;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
5.6e-006    1.8  0.2  0.0205926  0.103601   5     
5.6e-006    1.8  0.5  0.0900809  0.0525764  5     
5.6e-006    3.2  0.5  0.0952783  0.0769377  5     
5.6e-006    1.8  0.8  0.153754   0.0425921  5     
5.6e-006    3.2  0.8  0.160803   0.0633116  5     
5.6e-006    5.6  0.8  0.161896   0.0974796  5     


#$xi 1e-005;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
1e-005    1.8  0.2  0.0365247  0.0704805  5     
1e-005    3.2  0.2  0.0292346  0.108179   5     
1e-005    1.8  0.5  0.0832874  0.050876   5     
1e-005    3.2  0.5  0.0975126  0.0697562  5     
1e-005    5.6  0.5  0.0823067  0.102209   5     
1e-005    1.8  0.8  0.143495   0.0430388  5     
1e-005    3.2  0.8  0.138199   0.061648   5     
1e-005    5.6  0.8  0.129499   0.0915897  5     
1e-005    10   0.8  0.116477   0.143515   5     


#$xi 1.8e-005;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
1.8e-005    1.8  0.1  0.0194254  0.128989   5     
1.8e-005    1.8  0.2  0.0326438  0.0637487  5     
1.8e-005    3.2  0.2  0.0453341  0.0840879  5     
1.8e-005    5.6  0.2  0.0447154  0.123704   5     
1.8e-005    1.8  0.5  0.0747359  0.0515533  5     
1.8e-005    3.2  0.5  0.0823999  0.0679639  5     
1.8e-005    5.6  0.5  0.0828397  0.0942323  5     
1.8e-005    10   0.5  0.090322   0.140221   5     
1.8e-005    1.8  0.8  0.14186    0.0445511  5     
1.8e-005    3.2  0.8  0.116681   0.062377   5     
1.8e-005    5.6  0.8  0.112026   0.0894403  5     
1.8e-005    10   0.8  0.100201   0.135197   5     
1.8e-005    18   0.8  0.106612   0.213117   5     


#$xi 3.2e-005;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
3.2e-005    1.8  0.057  0.0126019  0.155509   5     
3.2e-005    1.8  0.1    0.0198497  0.112577   5     
3.2e-005    3.2  0.1    0.0313986  0.138203   5     
3.2e-005    1.8  0.2    0.0308815  0.0628813  5     
3.2e-005    3.2  0.2    0.0373128  0.077643   5     
3.2e-005    5.6  0.2    0.0513975  0.103944   5     
3.2e-005    10   0.2    0.0448805  0.153584   5     
3.2e-005    1.8  0.5    0.0675403  0.0534436  5     
3.2e-005    3.2  0.5    0.0743727  0.0689815  5     
3.2e-005    5.6  0.5    0.0754924  0.0923352  5     
3.2e-005    10   0.5    0.0765165  0.130641   5     
3.2e-005    18   0.5    0.0803217  0.194776   5     
3.2e-005    1.8  0.8    0.122232   0.0466883  5     
3.2e-005    3.2  0.8    0.11934    0.064547   5     
3.2e-005    5.6  0.8    0.102689   0.0906069  5     
3.2e-005    10   0.8    0.105632   0.132209   5     
3.2e-005    18   0.8    0.0971358  0.201353   5     
3.2e-005    32   0.8    0.0874961  0.313838   5     


#$xi 5.6e-005;
# xi        QQ      beta      srTot       estat      sysTot
# 1           2       3         4           5          6     
5.6e-005    1.8  0.032  0.0105203  0.18465    5     
5.6e-005    1.8  0.057  0.014718   0.135168   5     
5.6e-005    3.2  0.057  0.023261   0.15108    5     
5.6e-005    1.8  0.1    0.0181412  0.109513   5     
5.6e-005    3.2  0.1    0.0278372  0.123938   5     
5.6e-005    5.6  0.1    0.0362689  0.161557   5     
5.6e-005    1.8  0.2    0.0279246  0.0642739  5     
5.6e-005    3.2  0.2    0.0389851  0.0768472  5     
5.6e-005    5.6  0.2    0.0484392  0.0973549  5     
5.6e-005    10   0.2    0.0517859  0.13423    5     
5.6e-005    18   0.2    0.0550516  0.199453   5     
5.6e-005    1.8  0.5    0.0569579  0.0559962  5     
5.6e-005    3.2  0.5    0.0712871  0.0714541  5     
5.6e-005    5.6  0.5    0.0679413  0.0937886  5     
5.6e-005    10   0.5    0.0753573  0.128207   5     
5.6e-005    18   0.5    0.074017   0.182529   5     
5.6e-005    32   0.5    0.0732664  0.271584   5     
5.6e-005    1.8  0.8    0.0904605  0.0492039  5     
5.6e-005    3.2  0.8    0.0990403  0.0675515  5     
5.6e-005    5.6  0.8    0.0932003  0.0937005  5     
5.6e-005    10   0.8    0.0807124  0.133834   5     
5.6e-005    18   0.8    0.0745285  0.196833   5     
5.6e-005    32   0.8    0.0705884  0.297228   5     
5.6e-005    56   0.8    0.0648482  0.457239   5     


